Date,UX1..index,UX2..index,UX3..index,UX4..index,UX5..index,UX6..index,UX7..index,UX8..index,UX9..index,VIX.Index
2004-03-29,19.8,19.77,NA,19.68,NA,NA,20.98,NA,NA,16.5
2004-03-30,19.62,19.79,NA,19.91,NA,NA,21.02,NA,NA,16.28
2004-03-31,19.75,19.85,NA,20.15,NA,NA,21.08,NA,NA,16.74
2004-04-01,19.62,19.61,NA,20.2,NA,NA,21.17,NA,NA,16.65
2004-04-02,18.89,19.16,NA,20.05,NA,NA,21,NA,NA,15.64
2004-04-05,18.53,18.62,NA,19.97,NA,NA,21.04,NA,NA,14.97
2004-04-06,18.79,18.79,NA,20.28,NA,NA,21.16,NA,NA,15.32
2004-04-07,19.09,19.12,NA,20.54,NA,NA,21.57,NA,NA,15.76
2004-04-08,19.05,19,NA,20.51,NA,NA,21.43,NA,NA,16.26
2004-04-12,18.67,18.9,NA,20.34,NA,NA,21.32,NA,NA,15.28
2004-04-13,19.3,19.29,NA,20.74,NA,NA,21.68,NA,NA,17.26
2004-04-14,19.46,19.47,NA,20.27,NA,NA,21.59,NA,NA,15.62
2004-04-15,19.35,19.47,NA,20.43,NA,NA,21.67,NA,NA,15.74
2004-04-16,19,19.43,NA,20.26,NA,NA,21.62,NA,NA,14.94
2004-04-19,18.87,19.68,NA,20.37,NA,NA,21.66,NA,NA,15.42
2004-04-20,19.15,19.96,NA,20.52,NA,NA,21.88,NA,NA,16.67
2004-04-21,18.68,19.7,NA,20.22,NA,NA,21.58,NA,NA,15.6
2004-04-22,17.35,18.77,NA,19.67,NA,NA,21.1,NA,NA,14.61
2004-04-23,17.34,19.09,NA,19.81,NA,NA,21.22,NA,NA,14.01
2004-04-26,17.13,18.96,NA,19.81,NA,NA,21.2,NA,NA,14.77
2004-04-27,16.8,18.77,NA,19.8,NA,NA,21.2,NA,NA,15.07
2004-04-28,17.37,19.27,NA,20.26,NA,NA,21.26,NA,NA,16.29
2004-04-29,17.77,19.64,NA,20.68,NA,NA,21.38,NA,NA,16.6
2004-04-30,18.22,19.85,NA,20.93,NA,NA,21.42,NA,NA,17.19
2004-05-03,17.69,19.27,NA,20.61,NA,NA,21.13,NA,NA,16.62
2004-05-04,17.31,19.2,NA,20.45,NA,NA,21.13,NA,NA,16.55
2004-05-05,16.62,18.79,NA,20.26,NA,NA,20.95,NA,NA,15.77
2004-05-06,17.48,19.41,NA,20.68,NA,NA,21.23,NA,NA,17.05
2004-05-07,18.31,19.87,NA,21.19,NA,NA,21.39,NA,NA,18.13
2004-05-10,19.35,20.43,NA,21.62,NA,NA,21.71,NA,NA,19.77
2004-05-11,18.38,19.97,NA,21.06,NA,NA,21.45,NA,NA,18.57
2004-05-12,18.2,19.61,NA,20.98,NA,NA,21.22,NA,NA,18.14
2004-05-13,18.38,19.58,NA,20.43,NA,NA,21.12,NA,NA,18.86
2004-05-14,18.55,19.67,NA,20.56,NA,NA,21.15,NA,NA,18.47
2004-05-17,19.37,20.21,NA,21.05,NA,NA,21.29,NA,NA,19.96
2004-05-18,19.25,20.07,NA,21.04,NA,NA,21.25,NA,NA,19.33
2004-05-19,19.17,NA,NA,NA,NA,NA,NA,NA,NA,18.93
2004-05-20,19.34,NA,20.67,NA,NA,21.08,NA,NA,NA,18.67
2004-05-21,19.17,NA,20.86,NA,NA,21.1,NA,NA,NA,18.49
2004-05-24,18.77,19.04,20.53,NA,NA,21,NA,NA,NA,18.08
2004-05-25,17.5,18,19.8,NA,NA,20.63,NA,NA,NA,15.96
2004-05-26,17.61,18.09,19.86,NA,NA,20.67,NA,NA,NA,15.97
2004-05-27,17.35,17.9,19.73,NA,NA,20.74,NA,NA,NA,15.28
2004-05-28,17.58,18.06,19.68,NA,NA,20.75,NA,NA,NA,15.5
2004-06-01,17.6,18.16,19.74,NA,NA,20.77,NA,NA,NA,16.3
2004-06-02,17.65,18.1,19.59,NA,NA,20.67,NA,NA,NA,16.08
2004-06-03,17.6,18.33,19.92,NA,NA,20.74,NA,NA,NA,17.03
2004-06-04,17.28,18.51,19.99,NA,NA,20.85,NA,NA,NA,16.78
2004-06-07,16.58,18.07,19.55,NA,NA,20.62,NA,NA,NA,15.39
