,Date,CL1.Comdty_x,CL1.Comdty_y,XAU.Curncy
0,1990-01-03,23.68,23.68,395.0
1,1990-01-04,23.41,23.41,396.5
2,1990-01-05,23.08,23.08,405.0
3,1990-01-08,21.62,21.62,404.6
4,1990-01-09,22.07,22.07,403.45
5,1990-01-10,22.9,22.9,409.1
6,1990-01-11,23.14,23.14,412.1
7,1990-01-12,23.13,23.13,416.25
8,1990-01-15,22.36,22.36,415.6
9,1990-01-16,22.78,22.78,412.75
10,1990-01-17,22.1,22.1,410.4
11,1990-01-18,22.76,22.76,413.4
12,1990-01-19,23.67,23.67,408.65
13,1990-01-22,22.55,22.55,406.0
14,1990-01-23,21.6,21.6,408.25
15,1990-01-24,21.59,21.59,420.75
16,1990-01-25,22.24,22.24,415.65
17,1990-01-26,22.56,22.56,418.0
18,1990-01-29,22.8,22.8,418.75
19,1990-01-30,22.46,22.46,418.15
20,1990-01-31,22.68,22.68,415.05
21,1990-02-01,22.7,22.7,415.8
22,1990-02-02,23.02,23.02,417.95
23,1990-02-05,22.39,22.39,423.0
24,1990-02-06,22.51,22.51,421.05
25,1990-02-07,22.32,22.32,423.75
26,1990-02-08,22.09,22.09,418.0
27,1990-02-09,21.74,21.74,415.5
28,1990-02-12,22.03,22.03,418.85
29,1990-02-13,21.9,21.9,418.05
30,1990-02-14,22.07,22.07,414.6
31,1990-02-15,22.84,22.84,416.65
32,1990-02-16,22.42,22.42,416.5
33,1990-02-20,22.19,22.19,419.95
34,1990-02-21,21.74,21.74,420.0
35,1990-02-22,21.75,21.75,417.65
36,1990-02-23,21.42,21.42,415.85
37,1990-02-26,21.79,21.79,411.3
38,1990-02-27,21.58,21.58,407.55
39,1990-02-28,21.54,21.54,407.7
40,1990-03-01,21.17,21.17,406.3
41,1990-03-02,21.35,21.35,405.05
42,1990-03-05,21.58,21.58,403.2
43,1990-03-06,19.33,19.33,405.35
44,1990-03-07,20.93,20.93,400.5
45,1990-03-08,20.78,20.78,400.7
46,1990-03-09,20.43,20.43,399.3
47,1990-03-12,20.24,20.24,401.25
48,1990-03-13,20.22,20.22,397.25
49,1990-03-14,20.05,20.05,398.75
50,1990-03-15,20.38,20.38,399.5
51,1990-03-16,20.07,20.07,400.65
52,1990-03-19,19.6,19.6,402.1
53,1990-03-20,19.28,19.28,399.65
54,1990-03-21,19.96,19.96,392.0
55,1990-03-22,20.0,20.0,392.0
56,1990-03-23,20.39,20.39,393.5
57,1990-03-26,20.46,20.46,370.25
58,1990-03-27,20.48,20.48,368.0
59,1990-03-28,20.08,20.08,372.0
60,1990-03-29,20.05,20.05,371.5
61,1990-03-30,20.28,20.28,368.5
62,1990-04-02,20.48,20.48,368.4
63,1990-04-03,20.3,20.3,375.0
64,1990-04-04,19.78,19.78,374.25
65,1990-04-05,19.43,19.43,378.4
66,1990-04-06,19.15,19.15,377.7
67,1990-04-09,18.44,18.44,376.7
68,1990-04-10,17.68,17.68,375.2
69,1990-04-11,18.06,18.06,374.5
70,1990-04-12,17.78,17.78,375.5
71,1990-04-16,17.85,17.85,
72,1990-04-17,17.44,17.44,374.0
73,1990-04-18,16.96,16.96,374.75
74,1990-04-19,18.06,18.06,375.75
75,1990-04-20,17.95,17.95,376.0
76,1990-04-23,19.07,19.07,375.25
77,1990-04-24,19.0,19.0,376.8
78,1990-04-25,18.66,18.66,371.45
79,1990-04-26,18.47,18.47,371.6
80,1990-04-27,18.54,18.54,371.6
81,1990-04-30,18.54,18.54,367.75
82,1990-05-01,18.88,18.88,369.5
83,1990-05-02,18.68,18.68,369.6
84,1990-05-03,17.99,17.99,369.9
85,1990-05-04,17.98,17.98,371.3
86,1990-05-07,18.27,18.27,
87,1990-05-08,18.28,18.28,370.65
88,1990-05-09,18.99,18.99,370.3
89,1990-05-10,19.02,19.02,371.75
90,1990-05-11,18.95,18.95,368.55
91,1990-05-14,19.71,19.71,369.0
92,1990-05-15,19.59,19.59,367.75
93,1990-05-16,19.03,19.03,369.85
94,1990-05-17,18.87,18.87,369.2
95,1990-05-18,18.76,18.76,369.9
96,1990-05-21,18.26,18.26,373.1
97,1990-05-22,17.68,17.68,375.1
98,1990-05-23,18.14,18.14,364.5
99,1990-05-24,17.83,17.83,366.5
100,1990-05-25,17.8,17.8,366.5
101,1990-05-29,17.98,17.98,367.7
102,1990-05-30,18.08,18.08,366.4
103,1990-05-31,17.4,17.4,363.05
104,1990-06-01,17.5,17.5,363.45
105,1990-06-04,17.14,17.14,357.05
106,1990-06-05,16.68,16.68,358.1
107,1990-06-06,16.92,16.92,359.5
108,1990-06-07,16.67,16.67,352.8
109,1990-06-08,16.78,16.78,353.5
110,1990-06-11,16.82,16.82,354.7
111,1990-06-12,17.51,17.51,355.75
112,1990-06-13,17.58,17.58,350.5
113,1990-06-14,17.13,17.13,345.85
114,1990-06-15,16.62,16.62,346.9
115,1990-06-18,15.94,15.94,349.25
116,1990-06-19,15.65,15.65,348.65
117,1990-06-20,15.3,15.3,346.9
118,1990-06-21,16.94,16.94,349.75
119,1990-06-22,17.46,17.46,348.4
120,1990-06-25,17.38,17.38,353.4
121,1990-06-26,17.14,17.14,349.35
122,1990-06-27,16.68,16.68,350.65
123,1990-06-28,17.15,17.15,352.3
124,1990-06-29,17.07,17.07,352.2
125,1990-07-02,16.72,16.72,357.4
126,1990-07-03,16.8,16.8,362.0
127,1990-07-05,16.5,16.5,359.7
128,1990-07-06,16.47,16.47,361.15
129,1990-07-09,16.58,16.58,360.25
130,1990-07-10,16.94,16.94,354.0
131,1990-07-11,17.47,17.47,354.3
132,1990-07-12,18.46,18.46,351.45
133,1990-07-13,18.36,18.36,363.6
134,1990-07-16,18.67,18.67,363.25
135,1990-07-17,18.65,18.65,360.7
136,1990-07-18,18.55,18.55,359.4
137,1990-07-19,18.99,18.99,362.3
138,1990-07-20,19.61,19.61,361.0
139,1990-07-23,20.5,20.5,366.1
140,1990-07-24,20.56,20.56,368.7
141,1990-07-25,20.38,20.38,372.75
142,1990-07-26,20.3,20.3,368.75
143,1990-07-27,20.04,20.04,366.75
144,1990-07-30,20.21,20.21,367.3
145,1990-07-31,20.69,20.69,372.3
146,1990-08-01,21.54,21.54,370.65
147,1990-08-02,23.11,23.11,380.7
148,1990-08-03,24.49,24.49,379.0
149,1990-08-06,28.05,28.05,382.25
150,1990-08-07,28.31,28.31,383.25
151,1990-08-08,25.96,25.96,384.75
152,1990-08-09,25.67,25.67,383.6
153,1990-08-10,26.23,26.23,389.35
154,1990-08-13,26.77,26.77,404.3
155,1990-08-14,26.42,26.42,411.5
156,1990-08-15,26.46,26.46,398.4
157,1990-08-16,27.36,27.36,402.6
158,1990-08-17,28.63,28.63,410.6
159,1990-08-20,28.56,28.56,407.75
160,1990-08-21,28.41,28.41,413.8
161,1990-08-22,31.22,31.22,408.75
162,1990-08-23,31.93,31.93,412.4
163,1990-08-24,30.91,30.91,410.3
164,1990-08-27,26.91,26.91,
165,1990-08-28,27.88,27.88,388.25
166,1990-08-29,25.92,25.92,384.3
167,1990-08-30,26.77,26.77,389.75
168,1990-08-31,27.32,27.32,387.75
169,1990-09-04,29.12,29.12,381.4
170,1990-09-05,29.77,29.77,383.3
171,1990-09-06,31.43,31.43,387.5
172,1990-09-07,30.04,30.04,384.6
173,1990-09-10,31.3,31.3,384.5
174,1990-09-11,30.76,30.76,378.5
175,1990-09-12,30.97,30.97,382.05
176,1990-09-13,31.07,31.07,382.2
177,1990-09-14,31.76,31.76,386.2
178,1990-09-17,33.63,33.63,389.4
179,1990-09-18,33.41,33.41,386.0
180,1990-09-19,33.18,33.18,386.5
181,1990-09-20,34.71,34.71,386.95
182,1990-09-21,35.43,35.43,
183,1990-09-24,38.25,38.25,392.5
184,1990-09-25,37.53,37.53,403.75
185,1990-09-26,38.67,38.67,402.7
186,1990-09-27,39.54,39.54,403.95
187,1990-09-28,39.51,39.51,408.4
188,1990-10-01,37.09,37.09,396.3
189,1990-10-02,33.95,33.95,387.85
190,1990-10-03,37.32,37.32,389.4
191,1990-10-04,36.93,36.93,395.75
192,1990-10-05,37.99,37.99,395.6
193,1990-10-08,38.95,38.95,390.8
194,1990-10-09,40.4,40.4,397.0
195,1990-10-10,38.69,38.69,391.8
196,1990-10-11,40.42,40.42,388.0
197,1990-10-12,39.69,39.69,388.25
198,1990-10-15,37.95,37.95,380.7
199,1990-10-16,38.89,38.89,364.75
200,1990-10-17,36.72,36.72,366.0
201,1990-10-18,36.8,36.8,367.85
202,1990-10-19,33.79,33.79,372.0
203,1990-10-22,28.38,28.38,367.5
204,1990-10-23,29.37,29.37,371.65
205,1990-10-24,31.08,31.08,371.1
206,1990-10-25,34.25,34.25,375.05
207,1990-10-26,33.01,33.01,373.7
208,1990-10-29,34.68,34.68,372.7
209,1990-10-30,34.54,34.54,373.75
210,1990-10-31,35.23,35.23,379.5
211,1990-11-01,35.17,35.17,380.4
212,1990-11-02,34.0,34.0,377.5
213,1990-11-05,31.96,31.96,376.9
214,1990-11-06,32.63,32.63,379.25
215,1990-11-07,35.31,35.31,385.0
216,1990-11-08,35.53,35.53,384.75
217,1990-11-09,33.89,33.89,385.7
218,1990-11-12,31.87,31.87,380.7
219,1990-11-13,33.12,33.12,383.5
220,1990-11-14,31.16,31.16,383.9
221,1990-11-15,31.12,31.12,378.0
222,1990-11-16,29.78,29.78,376.3
223,1990-11-19,31.5,31.5,377.8
224,1990-11-20,28.91,28.91,380.0
225,1990-11-21,29.63,29.63,377.3
226,1990-11-23,31.9,31.9,383.6
227,1990-11-26,32.95,32.95,386.9
228,1990-11-27,32.86,32.86,383.8
229,1990-11-28,33.28,33.28,385.0
230,1990-11-29,32.91,32.91,386.8
231,1990-11-30,28.85,28.85,384.85
232,1990-12-03,29.15,29.15,380.65
