,Date,RTY.Index_x,RTY.Index_y,MXEA.Index
0,1990-01-02,169.94,169.94,1043.26
1,1990-01-03,170.78,170.78,1044.8
2,1990-01-04,170.17,170.17,1054.33
3,1990-01-05,169.71,169.71,1046.18
4,1990-01-08,169.67,169.67,1047.86
5,1990-01-09,169.46,169.46,1040.82
6,1990-01-10,168.14,168.14,1035.08
7,1990-01-11,168.2,168.2,1037.13
8,1990-01-12,164.51,164.51,1028.91
9,1990-01-15,163.07,163.07,1023.8
10,1990-01-16,163.47,163.47,1001.73
11,1990-01-17,163.58,163.58,1003.17
12,1990-01-18,162.83,162.83,991.37
13,1990-01-19,163.65,163.65,990.08
14,1990-01-22,161.19,161.19,993.39
15,1990-01-23,160.49,160.49,993.14
16,1990-01-24,158.25,158.25,988.43
17,1990-01-25,157.98,157.98,994.56
18,1990-01-26,156.65,156.65,999.61
19,1990-01-29,154.96,154.96,1014.05
20,1990-01-30,152.65,152.65,1012.77
21,1990-01-31,153.33,153.33,1007.8
22,1990-02-01,154.39,154.39,1012.8
23,1990-02-02,156.01,156.01,1015.48
24,1990-02-05,156.87,156.87,1018.04
25,1990-02-06,156.92,156.92,1022.39
26,1990-02-07,158.25,158.25,1011.66
27,1990-02-08,158.63,158.63,1011.7
28,1990-02-09,159.09,159.09,1003.93
29,1990-02-12,158.46,158.46,1003.14
30,1990-02-13,158.16,158.16,997.51
31,1990-02-14,158.27,158.27,1000.33
32,1990-02-15,159.24,159.24,1005.41
33,1990-02-16,159.3,159.3,1009.08
34,1990-02-19,159.3,159.3,1002.54
35,1990-02-20,157.9,157.9,988.83
36,1990-02-21,157.07,157.07,967.91
37,1990-02-22,157.81,157.81,966.55
38,1990-02-23,156.59,156.59,943.3
39,1990-02-26,156.33,156.33,911.56
40,1990-02-27,156.81,156.81,924.21
41,1990-02-28,157.8,157.8,936.39
42,1990-03-01,158.09,158.09,920.62
43,1990-03-02,159.22,159.22,922.93
44,1990-03-05,159.24,159.24,922.81
45,1990-03-06,160.37,160.37,919.02
46,1990-03-07,160.85,160.85,912.96
47,1990-03-08,162.0,162.0,918.79
48,1990-03-09,162.03,162.03,915.47
49,1990-03-12,162.12,162.12,902.24
50,1990-03-13,162.01,162.01,887.46
51,1990-03-14,162.73,162.73,882.0
52,1990-03-15,163.21,163.21,882.91
53,1990-03-16,164.15,164.15,888.22
54,1990-03-19,164.37,164.37,866.65
55,1990-03-20,164.12,164.12,854.71
56,1990-03-21,164.04,164.04,849.73
57,1990-03-22,162.57,162.57,827.92
58,1990-03-23,163.51,163.51,843.57
59,1990-03-26,163.69,163.69,863.07
60,1990-03-27,163.96,163.96,861.5
61,1990-03-28,163.69,163.69,848.69
62,1990-03-29,163.38,163.38,851.98
