,Date,LEGATRUU.Index_x,LEGATRUU.Index_y,LF98TRUU.Index,LGTRTRUU.Index,LUACTRUU.Index,LUATTRUU.Index
0,1990-02-28,98.14,98.14,190.2,,449.45,461.62
1,1990-03-30,97.62,97.62,195.19,,449.86,461.47
2,1990-04-30,97.11,97.11,194.86,,445.17,457.23
3,1990-05-31,100.2,100.2,198.62,,459.57,470.09
4,1990-06-29,102.05,102.05,203.42,,467.42,477.54
5,1990-07-31,104.73,104.73,208.9,,472.71,483.59
6,1990-08-31,103.68,103.68,197.01,,465.18,476.63
7,1990-09-28,104.64,104.64,182.63,,467.31,481.21
8,1990-10-31,107.96,107.96,173.04,,469.41,489.14
9,1990-11-30,109.93,109.93,178.44,,479.06,499.97
10,1990-12-31,111.22,111.22,179.44,,485.81,507.75
11,1991-01-31,113.62,113.62,184.37,,491.96,513.19
12,1991-02-28,114.17,114.17,204.54,,500.38,515.93
13,1991-03-28,111.7,111.7,216.59,,506.55,518.53
14,1991-03-29,111.7,111.7,216.59,,506.55,518.53
15,1991-04-30,112.98,112.98,225.47,,513.12,524.23
16,1991-05-31,113.33,113.33,225.88,,516.65,526.18
17,1991-06-28,112.4,112.4,232.56,,516.57,525.39
18,1991-07-31,114.52,114.52,240.0,,524.0,531.54
19,1991-08-30,116.87,116.87,245.52,,535.86,543.85
20,1991-09-30,120.71,120.71,248.94,,546.91,555.31
21,1991-10-31,122.15,122.15,257.25,,552.09,560.24
22,1991-11-29,123.65,123.65,258.59,,557.5,565.85
23,1991-12-31,129.06,129.06,262.31,,575.72,585.4
24,1992-01-31,127.06,127.06,271.55,,568.53,576.03
25,1992-02-28,127.06,127.06,278.25,,573.98,578.26
26,1992-03-31,125.97,125.97,281.7,,571.52,574.79
27,1992-04-30,126.79,126.79,282.77,,574.37,578.39
28,1992-05-29,130.38,130.38,286.76,,587.2,589.02
29,1992-06-30,133.35,133.35,289.46,,596.39,597.55
30,1992-07-31,136.09,136.09,293.83,,612.31,612.79
31,1992-08-31,138.98,138.98,297.68,,617.06,618.59
32,1992-09-30,139.47,139.47,300.71,,624.55,627.61
33,1992-10-30,136.34,136.34,296.47,,613.44,618.39
34,1992-11-30,135.05,135.05,300.2,,614.42,617.13
35,1992-12-31,136.54,136.54,303.63,,625.76,627.63
36,1993-01-29,138.89,138.89,312.46,,640.34,641.1
37,1993-02-26,141.08,141.08,317.97,,655.04,653.96
38,1993-03-31,142.61,142.61,322.06,,657.33,656.13
39,1993-04-30,144.66,144.66,324.87,,662.39,661.28
40,1993-05-28,145.64,145.64,328.73,,663.17,660.47
41,1993-06-30,146.39,146.39,335.63,,679.27,675.25
42,1993-07-30,146.44,146.44,338.87,,684.19,679.22
43,1993-08-31,150.17,150.17,341.73,,701.2,694.35
44,1993-09-30,151.47,151.47,342.61,,702.87,697.07
45,1993-10-29,151.62,151.62,349.55,,706.41,699.67
46,1993-11-30,150.27,150.27,351.23,,697.74,692.0
47,1993-12-31,151.67,151.67,355.6,,701.84,694.67
48,1994-01-31,153.47,153.47,363.32,,715.46,704.24
49,1994-02-28,151.54,151.54,362.37,,698.57,689.12
50,1994-03-31,149.7,149.7,348.68,,677.13,673.66
51,1994-04-29,149.34,149.34,346.29,,670.61,668.39
52,1994-05-31,148.5,148.5,346.47,,668.14,667.58
53,1994-06-30,149.5,149.5,347.54,,666.5,666.08
54,1994-07-29,151.67,151.67,350.49,,683.33,678.22
55,1994-08-31,151.49,151.49,352.97,,684.1,678.38
56,1994-09-30,151.25,151.25,352.99,,671.35,668.85
57,1994-10-31,152.84,152.84,353.83,,669.81,668.43
58,1994-11-30,151.31,151.31,349.37,,668.71,667.09
59,1994-12-30,152.02,152.02,351.94,,674.24,671.18
60,1995-01-31,155.2,155.2,356.71,,688.54,683.6
61,1995-02-28,159.03,159.03,368.94,,708.39,698.19
62,1995-03-31,164.35,164.35,372.91,,714.17,702.58
63,1995-04-28,166.92,166.92,382.4,,726.22,711.77
64,1995-05-31,172.06,172.06,393.12,,760.45,740.55
65,1995-06-30,173.24,173.24,395.62,,767.3,746.39
66,1995-07-31,174.05,174.05,400.62,,763.91,743.62
67,1995-08-31,171.93,171.93,401.87,,776.22,752.24
68,1995-09-29,175.12,175.12,406.81,,785.42,759.45
69,1995-10-31,177.21,177.21,409.32,,795.64,771.19
70,1995-11-30,179.32,179.32,412.93,,810.87,783.14
71,1995-12-29,181.91,181.91,419.42,,824.23,794.35
72,1996-01-31,181.21,181.21,426.8,,829.55,799.36
73,1996-02-29,179.56,179.56,427.14,,809.84,782.99
74,1996-03-29,179.01,179.01,426.85,,802.94,776.22
75,1996-04-30,178.18,178.18,427.79,,796.28,771.25
76,1996-05-31,178.35,178.35,430.36,,794.89,770.0
