,Date,USDJPY.Curncy_x,USDJPY.Curncy_y,USDEUR.Curncy
0,1990-01-02,146.25,146.25,
1,1990-01-03,145.7,145.7,0.83
2,1990-01-04,143.37,143.37,0.81
3,1990-01-05,143.82,143.82,0.81
4,1990-01-08,144.1,144.1,0.8
5,1990-01-09,145.2,145.2,0.81
6,1990-01-10,145.25,145.25,0.81
7,1990-01-11,145.4,145.4,0.81
8,1990-01-12,145.4,145.4,0.81
9,1990-01-15,145.46,145.46,0.81
10,1990-01-16,145.48,145.48,0.81
11,1990-01-17,145.49,145.49,0.81
12,1990-01-18,146.12,146.12,0.82
13,1990-01-19,145.65,145.65,0.82
14,1990-01-22,146.43,146.43,0.83
15,1990-01-23,146.09,146.09,0.82
16,1990-01-24,145.32,145.32,0.81
17,1990-01-25,144.42,144.42,0.81
18,1990-01-26,143.35,143.35,0.81
19,1990-01-29,143.13,143.13,0.8
20,1990-01-30,144.1,144.1,0.8
21,1990-01-31,144.55,144.55,0.81
22,1990-02-01,144.9,144.9,0.81
23,1990-02-02,145.38,145.38,0.81
24,1990-02-05,145.39,145.39,0.8
25,1990-02-06,145.13,145.13,0.8
26,1990-02-07,145.47,145.47,0.8
27,1990-02-08,145.4,145.4,0.8
28,1990-02-09,145.2,145.2,0.8
29,1990-02-12,144.2,144.2,0.8
30,1990-02-13,144.4,144.4,0.81
31,1990-02-14,144.27,144.27,0.8
32,1990-02-15,144.4,144.4,0.81
33,1990-02-16,144.15,144.15,0.81
34,1990-02-19,144.65,144.65,0.8
35,1990-02-20,145.45,145.45,0.8
36,1990-02-21,145.32,145.32,0.8
37,1990-02-22,145.89,145.89,0.8
38,1990-02-23,146.92,146.92,0.8
39,1990-02-26,148.85,148.85,0.81
40,1990-02-27,148.63,148.63,0.81
41,1990-02-28,148.82,148.82,0.81
42,1990-03-01,149.67,149.67,0.82
43,1990-03-02,150.28,150.28,0.82
44,1990-03-05,149.78,149.78,0.81
45,1990-03-06,149.8,149.8,0.81
46,1990-03-07,151.22,151.22,0.82
47,1990-03-08,150.83,150.83,0.81
48,1990-03-09,151.34,151.34,0.81
49,1990-03-12,152.38,152.38,0.82
50,1990-03-13,152.55,152.55,0.82
51,1990-03-14,152.24,152.24,0.82
52,1990-03-15,152.55,152.55,0.82
53,1990-03-16,152.38,152.38,0.81
54,1990-03-19,153.5,153.5,0.8
55,1990-03-20,153.88,153.88,0.81
56,1990-03-21,154.16,154.16,0.82
57,1990-03-22,155.1,155.1,0.82
58,1990-03-23,153.9,153.9,0.82
59,1990-03-26,156.5,156.5,0.82
60,1990-03-27,157.4,157.4,0.82
61,1990-03-28,158.75,158.75,0.82
62,1990-03-29,156.75,156.75,0.81
63,1990-03-30,157.82,157.82,0.81
64,1990-04-02,158.9,158.9,0.81
65,1990-04-03,159.13,159.13,0.81
66,1990-04-04,158.6,158.6,0.81
67,1990-04-05,157.68,157.68,0.81
68,1990-04-06,157.65,157.65,0.81
69,1990-04-09,157.5,157.5,0.81
70,1990-04-10,158.58,158.58,0.81
71,1990-04-11,158.28,158.28,0.8
72,1990-04-12,158.19,158.19,0.8
73,1990-04-13,158.75,158.75,
74,1990-04-16,159.37,159.37,
75,1990-04-17,159.9,159.9,0.8
76,1990-04-18,159.1,159.1,0.8
77,1990-04-19,156.5,156.5,0.8
78,1990-04-20,157.85,157.85,0.8
79,1990-04-23,157.7,157.7,0.81
80,1990-04-24,158.72,158.72,0.81
81,1990-04-25,158.73,158.73,0.8
82,1990-04-26,158.75,158.75,0.8
83,1990-04-27,158.9,158.9,0.8
84,1990-04-30,158.85,158.85,0.8
85,1990-05-01,158.85,158.85,0.8
86,1990-05-02,158.3,158.3,0.8
87,1990-05-03,158.15,158.15,0.8
88,1990-05-04,158.35,158.35,0.8
89,1990-05-07,158.0,158.0,
90,1990-05-08,157.9,157.9,0.79
91,1990-05-09,156.45,156.45,0.78
92,1990-05-10,157.0,157.0,0.78
93,1990-05-11,152.73,152.73,0.78
94,1990-05-14,152.77,152.77,0.78
95,1990-05-15,151.4,151.4,0.79
96,1990-05-16,151.43,151.43,0.78
97,1990-05-17,152.35,152.35,0.79
98,1990-05-18,152.85,152.85,0.79
99,1990-05-21,153.53,153.53,0.79
100,1990-05-22,151.6,151.6,0.8
101,1990-05-23,151.23,151.23,0.8
102,1990-05-24,151.55,151.55,0.8
103,1990-05-25,149.69,149.69,0.8
104,1990-05-28,149.5,149.5,
105,1990-05-29,150.88,150.88,0.8
