"","Date","BCOM.Index"
"3",1990-01-03,"95.60"
"4",1990-01-04,"94.84"
"5",1990-01-05,"94.05"
"6",1990-01-08,"92.56"
"7",1990-01-09,"92.90"
"8",1990-01-10,"94.14"
"9",1990-01-11,"94.82"
"10",1990-01-12,"94.28"
"11",1990-01-15,"93.26"
"12",1990-01-16,"92.96"
"13",1990-01-17,"92.49"
"14",1990-01-18,"92.58"
"15",1990-01-19,"92.79"
"16",1990-01-22,"92.32"
"17",1990-01-23,"92.14"
"18",1990-01-24,"91.96"
"19",1990-01-25,"92.44"
"20",1990-01-26,"92.81"
"21",1990-01-29,"93.04"
"22",1990-01-30,"92.40"
"23",1990-01-31,"92.51"
"24",1990-02-01,"92.58"
"25",1990-02-02,"93.34"
"26",1990-02-05,"92.65"
"27",1990-02-06,"92.68"
"28",1990-02-07,"92.71"
"29",1990-02-08,"92.51"
"30",1990-02-09,"92.45"
"31",1990-02-12,"93.01"
"32",1990-02-13,"93.24"
"33",1990-02-14,"93.59"
"34",1990-02-15,"94.11"
"35",1990-02-16,"94.06"
"36",1990-02-20,"94.02"
"37",1990-02-21,"94.02"
"38",1990-02-22,"94.31"
"39",1990-02-23,"94.10"
"40",1990-02-26,"94.10"
"41",1990-02-27,"93.57"
"42",1990-02-28,"93.86"
"43",1990-03-01,"93.42"
"44",1990-03-02,"94.23"
"45",1990-03-05,"95.29"
"46",1990-03-06,"94.90"
"47",1990-03-07,"94.45"
"48",1990-03-08,"94.64"
"49",1990-03-09,"93.91"
"50",1990-03-12,"93.42"
"51",1990-03-13,"93.26"
"52",1990-03-14,"93.24"
"53",1990-03-15,"94.47"
"54",1990-03-16,"93.95"
"55",1990-03-19,"93.72"
"56",1990-03-20,"93.30"
"57",1990-03-21,"93.67"
"58",1990-03-22,"93.73"
"59",1990-03-23,"93.95"
"60",1990-03-26,"93.28"
"61",1990-03-27,"93.11"
"62",1990-03-28,"93.00"
"63",1990-03-29,"93.43"
"64",1990-03-30,"94.15"
"65",1990-04-02,"94.26"
"66",1990-04-03,"94.93"
"67",1990-04-04,"94.51"
"68",1990-04-05,"94.19"
"69",1990-04-06,"94.15"
"70",1990-04-09,"92.98"
"71",1990-04-10,"92.79"
"72",1990-04-11,"93.05"
"73",1990-04-12,"92.59"
"74",1990-04-16,"93.06"
"75",1990-04-17,"93.00"
"76",1990-04-18,"92.48"
"77",1990-04-19,"93.73"
"78",1990-04-20,"93.56"
"79",1990-04-23,"93.96"
"80",1990-04-24,"93.58"
"81",1990-04-25,"93.41"
"82",1990-04-26,"93.79"
"83",1990-04-27,"94.12"
"84",1990-04-30,"93.97"
"85",1990-05-01,"94.71"
"86",1990-05-02,"94.73"
"87",1990-05-03,"93.74"
"88",1990-05-04,"93.52"
"89",1990-05-07,"94.29"
"90",1990-05-08,"94.09"
"91",1990-05-09,"95.63"
"92",1990-05-10,"95.72"
"93",1990-05-11,"94.80"
"94",1990-05-14,"95.40"
"95",1990-05-15,"95.01"
"96",1990-05-16,"94.95"
"97",1990-05-17,"95.34"
"98",1990-05-18,"95.27"
"99",1990-05-21,"94.42"
"100",1990-05-22,"94.72"
"101",1990-05-23,"93.34"
"102",1990-05-24,"93.76"
"103",1990-05-25,"93.75"
"104",1990-05-29,"93.47"
"105",1990-05-30,"93.12"
"106",1990-05-31,"92.05"
"107",1990-06-01,"91.57"
"108",1990-06-04,"90.80"
"109",1990-06-05,"90.85"
"110",1990-06-06,"90.88"
"111",1990-06-07,"90.89"
"112",1990-06-08,"90.56"
"113",1990-06-11,"90.56"
"114",1990-06-12,"91.47"
"115",1990-06-13,"91.26"
"116",1990-06-14,"90.07"
"117",1990-06-15,"89.76"
"118",1990-06-18,"89.97"
"119",1990-06-19,"89.78"
"120",1990-06-20,"89.66"
"121",1990-06-21,"89.78"
"122",1990-06-22,"90.00"
"123",1990-06-25,"90.55"
"124",1990-06-26,"90.14"
"125",1990-06-27,"89.90"
"126",1990-06-28,"90.84"
"127",1990-06-29,"91.26"
"128",1990-07-02,"91.78"
"129",1990-07-03,"91.99"
"130",1990-07-05,"91.09"
"131",1990-07-06,"90.49"
"132",1990-07-09,"90.31"
"133",1990-07-10,"90.48"
"134",1990-07-11,"90.97"
"135",1990-07-12,"92.44"
"136",1990-07-13,"93.08"
"137",1990-07-16,"93.31"
"138",1990-07-17,"92.84"
"139",1990-07-18,"92.55"
"140",1990-07-19,"92.55"
"141",1990-07-20,"92.41"
"142",1990-07-23,"93.13"
"143",1990-07-24,"93.25"
"144",1990-07-25,"93.47"
"145",1990-07-26,"93.97"
"146",1990-07-27,"93.65"
"147",1990-07-30,"93.63"
"148",1990-07-31,"94.32"
"149",1990-08-01,"94.97"
"150",1990-08-02,"96.54"
"151",1990-08-03,"97.50"
"152",1990-08-06,"102.41"
"153",1990-08-07,"102.73"
