"","Date","CL1.Comdty"
"3",1990-01-03,"23.68"
"4",1990-01-04,"23.41"
"5",1990-01-05,"23.08"
"6",1990-01-08,"21.62"
"7",1990-01-09,"22.07"
"8",1990-01-10,"22.90"
"9",1990-01-11,"23.14"
"10",1990-01-12,"23.13"
"11",1990-01-15,"22.36"
"12",1990-01-16,"22.78"
"13",1990-01-17,"22.10"
"14",1990-01-18,"22.76"
"15",1990-01-19,"23.67"
"16",1990-01-22,"22.55"
"17",1990-01-23,"21.60"
"18",1990-01-24,"21.59"
"19",1990-01-25,"22.24"
"20",1990-01-26,"22.56"
"21",1990-01-29,"22.80"
"22",1990-01-30,"22.46"
"23",1990-01-31,"22.68"
"24",1990-02-01,"22.70"
"25",1990-02-02,"23.02"
"26",1990-02-05,"22.39"
"27",1990-02-06,"22.51"
"28",1990-02-07,"22.32"
"29",1990-02-08,"22.09"
"30",1990-02-09,"21.74"
"31",1990-02-12,"22.03"
"32",1990-02-13,"21.90"
"33",1990-02-14,"22.07"
"34",1990-02-15,"22.84"
"35",1990-02-16,"22.42"
"36",1990-02-20,"22.19"
"37",1990-02-21,"21.74"
"38",1990-02-22,"21.75"
"39",1990-02-23,"21.42"
"40",1990-02-26,"21.79"
"41",1990-02-27,"21.58"
"42",1990-02-28,"21.54"
"43",1990-03-01,"21.17"
"44",1990-03-02,"21.35"
"45",1990-03-05,"21.58"
"46",1990-03-06,"19.33"
"47",1990-03-07,"20.93"
"48",1990-03-08,"20.78"
"49",1990-03-09,"20.43"
"50",1990-03-12,"20.24"
"51",1990-03-13,"20.22"
"52",1990-03-14,"20.05"
"53",1990-03-15,"20.38"
"54",1990-03-16,"20.07"
"55",1990-03-19,"19.60"
"56",1990-03-20,"19.28"
"57",1990-03-21,"19.96"
"58",1990-03-22,"20.00"
"59",1990-03-23,"20.39"
"60",1990-03-26,"20.46"
"61",1990-03-27,"20.48"
"62",1990-03-28,"20.08"
"63",1990-03-29,"20.05"
"64",1990-03-30,"20.28"
"65",1990-04-02,"20.48"
"66",1990-04-03,"20.30"
"67",1990-04-04,"19.78"
"68",1990-04-05,"19.43"
"69",1990-04-06,"19.15"
"70",1990-04-09,"18.44"
"71",1990-04-10,"17.68"
"72",1990-04-11,"18.06"
"73",1990-04-12,"17.78"
"74",1990-04-16,"17.85"
"75",1990-04-17,"17.44"
"76",1990-04-18,"16.96"
"77",1990-04-19,"18.06"
"78",1990-04-20,"17.95"
"79",1990-04-23,"19.07"
"80",1990-04-24,"19.00"
"81",1990-04-25,"18.66"
"82",1990-04-26,"18.47"
"83",1990-04-27,"18.54"
"84",1990-04-30,"18.54"
"85",1990-05-01,"18.88"
"86",1990-05-02,"18.68"
"87",1990-05-03,"17.99"
"88",1990-05-04,"17.98"
"89",1990-05-07,"18.27"
"90",1990-05-08,"18.28"
"91",1990-05-09,"18.99"
"92",1990-05-10,"19.02"
"93",1990-05-11,"18.95"
"94",1990-05-14,"19.71"
"95",1990-05-15,"19.59"
"96",1990-05-16,"19.03"
"97",1990-05-17,"18.87"
"98",1990-05-18,"18.76"
"99",1990-05-21,"18.26"
"100",1990-05-22,"17.68"
"101",1990-05-23,"18.14"
"102",1990-05-24,"17.83"
"103",1990-05-25,"17.80"
"104",1990-05-29,"17.98"
"105",1990-05-30,"18.08"
"106",1990-05-31,"17.40"
"107",1990-06-01,"17.50"
"108",1990-06-04,"17.14"
"109",1990-06-05,"16.68"
"110",1990-06-06,"16.92"
"111",1990-06-07,"16.67"
"112",1990-06-08,"16.78"
"113",1990-06-11,"16.82"
"114",1990-06-12,"17.51"
"115",1990-06-13,"17.58"
"116",1990-06-14,"17.13"
"117",1990-06-15,"16.62"
"118",1990-06-18,"15.94"
"119",1990-06-19,"15.65"
"120",1990-06-20,"15.30"
"121",1990-06-21,"16.94"
"122",1990-06-22,"17.46"
"123",1990-06-25,"17.38"
"124",1990-06-26,"17.14"
"125",1990-06-27,"16.68"
"126",1990-06-28,"17.15"
"127",1990-06-29,"17.07"
"128",1990-07-02,"16.72"
"129",1990-07-03,"16.80"
"130",1990-07-05,"16.50"
"131",1990-07-06,"16.47"
"132",1990-07-09,"16.58"
"133",1990-07-10,"16.94"
"134",1990-07-11,"17.47"
"135",1990-07-12,"18.46"
"136",1990-07-13,"18.36"
"137",1990-07-16,"18.67"
"138",1990-07-17,"18.65"
"139",1990-07-18,"18.55"
"140",1990-07-19,"18.99"
"141",1990-07-20,"19.61"
"142",1990-07-23,"20.50"
"143",1990-07-24,"20.56"
"144",1990-07-25,"20.38"
"145",1990-07-26,"20.30"
"146",1990-07-27,"20.04"
"147",1990-07-30,"20.21"
"148",1990-07-31,"20.69"
"149",1990-08-01,"21.54"
"150",1990-08-02,"23.11"
"151",1990-08-03,"24.49"
"152",1990-08-06,"28.05"
"153",1990-08-07,"28.31"
"154",1990-08-08,"25.96"
"155",1990-08-09,"25.67"
"156",1990-08-10,"26.23"
"157",1990-08-13,"26.77"
"158",1990-08-14,"26.42"
"159",1990-08-15,"26.46"
