"","Date","DXY.Index"
"3",1990-01-03,"94.45"
"4",1990-01-04,"92.54"
"5",1990-01-05,"93.06"
"6",1990-01-08,"92.05"
"7",1990-01-09,"92.36"
"8",1990-01-10,"92.50"
"9",1990-01-11,"92.44"
"10",1990-01-12,"92.56"
"11",1990-01-15,"92.95"
"12",1990-01-16,"92.87"
"13",1990-01-17,"92.77"
"14",1990-01-18,"93.78"
"15",1990-01-19,"93.76"
"16",1990-01-22,"94.36"
"17",1990-01-23,"93.05"
"18",1990-01-24,"92.87"
"19",1990-01-25,"92.57"
"20",1990-01-26,"92.53"
"21",1990-01-29,"91.99"
"22",1990-01-30,"92.91"
"23",1990-01-31,"92.55"
"24",1990-02-01,"92.18"
"25",1990-02-02,"92.44"
"26",1990-02-05,"91.49"
"27",1990-02-06,"91.45"
"28",1990-02-07,"91.68"
"29",1990-02-08,"91.92"
"30",1990-02-09,"91.94"
"31",1990-02-12,"92.11"
"32",1990-02-13,"92.21"
"33",1990-02-14,"92.25"
"34",1990-02-15,"92.89"
"35",1990-02-16,"92.07"
"36",1990-02-20,"91.78"
"37",1990-02-21,"91.88"
"38",1990-02-22,"91.84"
"39",1990-02-23,"92.20"
"40",1990-02-26,"92.71"
"41",1990-02-27,"92.83"
"42",1990-02-28,"93.39"
"43",1990-03-01,"93.96"
"44",1990-03-02,"94.15"
"45",1990-03-05,"93.36"
"46",1990-03-06,"93.59"
"47",1990-03-07,"93.37"
"48",1990-03-08,"93.62"
"49",1990-03-09,"93.89"
"50",1990-03-12,"94.43"
"51",1990-03-13,"94.28"
"52",1990-03-14,"94.20"
"53",1990-03-15,"93.74"
"54",1990-03-16,"93.82"
"55",1990-03-19,"93.49"
"56",1990-03-20,"94.30"
"57",1990-03-21,"94.57"
"58",1990-03-22,"94.19"
"59",1990-03-23,"94.39"
"60",1990-03-26,"94.36"
"61",1990-03-27,"94.55"
"62",1990-03-28,"94.47"
"63",1990-03-29,"93.58"
"64",1990-03-30,"93.77"
"65",1990-04-02,"94.10"
"66",1990-04-03,"93.99"
"67",1990-04-04,"94.01"
"68",1990-04-05,"93.85"
"69",1990-04-06,"93.70"
"70",1990-04-09,"93.64"
"71",1990-04-10,"92.97"
"72",1990-04-11,"92.87"
"73",1990-04-12,"92.91"
"74",1990-04-16,"93.35"
"75",1990-04-17,"93.31"
"76",1990-04-18,"92.94"
"77",1990-04-19,"93.08"
"78",1990-04-20,"93.39"
"79",1990-04-23,"93.80"
"80",1990-04-24,"93.83"
"81",1990-04-25,"93.08"
"82",1990-04-26,"93.17"
"83",1990-04-27,"93.08"
"84",1990-04-30,"93.08"
"85",1990-05-01,"93.14"
"86",1990-05-02,"93.21"
"87",1990-05-03,"93.16"
"88",1990-05-04,"92.43"
"89",1990-05-07,"92.04"
"90",1990-05-08,"92.01"
"91",1990-05-09,"91.16"
"92",1990-05-10,"91.03"
"93",1990-05-11,"91.06"
"94",1990-05-14,"91.11"
"95",1990-05-15,"91.15"
"96",1990-05-16,"91.24"
"97",1990-05-17,"91.25"
"98",1990-05-18,"91.38"
"99",1990-05-21,"91.94"
"100",1990-05-22,"91.97"
"101",1990-05-23,"92.07"
"102",1990-05-24,"92.41"
"103",1990-05-25,"92.17"
"104",1990-05-29,"91.98"
"105",1990-05-30,"92.33"
"106",1990-05-31,"92.93"
"107",1990-06-01,"92.99"
"108",1990-06-04,"92.68"
"109",1990-06-05,"92.59"
"110",1990-06-06,"92.61"
"111",1990-06-07,"92.80"
"112",1990-06-08,"93.08"
"113",1990-06-11,"92.93"
"114",1990-06-12,"92.94"
"115",1990-06-13,"92.54"
"116",1990-06-14,"92.73"
"117",1990-06-15,"92.59"
"118",1990-06-18,"92.02"
"119",1990-06-19,"91.91"
"120",1990-06-20,"92.06"
"121",1990-06-21,"92.11"
"122",1990-06-22,"91.97"
"123",1990-06-25,"92.10"
"124",1990-06-26,"91.46"
"125",1990-06-27,"91.53"
"126",1990-06-28,"91.68"
"127",1990-06-29,"91.15"
"128",1990-07-02,"90.51"
"129",1990-07-03,"90.43"
"130",1990-07-05,"90.41"
"131",1990-07-06,"90.50"
"132",1990-07-09,"90.27"
"133",1990-07-10,"89.58"
"134",1990-07-11,"90.18"
"135",1990-07-12,"89.38"
"136",1990-07-13,"90.06"
"137",1990-07-16,"90.19"
"138",1990-07-17,"89.69"
"139",1990-07-18,"89.84"
"140",1990-07-19,"89.66"
"141",1990-07-20,"89.54"
"142",1990-07-23,"88.93"
"143",1990-07-24,"88.99"
"144",1990-07-25,"89.15"
"145",1990-07-26,"89.14"
"146",1990-07-27,"88.44"
"147",1990-07-30,"88.13"
"148",1990-07-31,"87.20"
"149",1990-08-01,"87.42"
"150",1990-08-02,"87.73"
"151",1990-08-03,"87.54"
"152",1990-08-06,"87.12"
"153",1990-08-07,"87.52"
"154",1990-08-08,"87.59"
"155",1990-08-09,"87.69"
"156",1990-08-10,"87.59"
"157",1990-08-13,"87.01"
"158",1990-08-14,"86.37"
"159",1990-08-15,"86.30"
"160",1990-08-16,"85.87"
"161",1990-08-17,"85.62"
"162",1990-08-20,"86.18"
"163",1990-08-21,"86.17"
"164",1990-08-22,"85.97"
"165",1990-08-23,"85.12"
"166",1990-08-24,"85.66"
"167",1990-08-27,"85.30"
"168",1990-08-28,"85.40"
"169",1990-08-29,"85.57"
"170",1990-08-30,"85.92"
"171",1990-08-31,"86.58"
"172",1990-09-04,"86.85"
"173",1990-09-05,"85.72"
"174",1990-09-06,"85.47"
"175",1990-09-07,"86.05"
"176",1990-09-10,"86.68"
"177",1990-09-11,"86.90"
"178",1990-09-12,"86.94"
"179",1990-09-13,"85.79"
"180",1990-09-14,"85.72"
"181",1990-09-17,"84.92"
"182",1990-09-18,"85.24"
"183",1990-09-19,"85.98"
"184",1990-09-20,"86.22"
"185",1990-09-21,"86.31"
"186",1990-09-24,"85.48"
"187",1990-09-25,"85.96"
"188",1990-09-26,"85.75"
"189",1990-09-27,"85.72"
"190",1990-09-28,"85.91"
"191",1990-10-01,"85.43"
"192",1990-10-02,"85.10"
"193",1990-10-03,"84.71"
"194",1990-10-04,"84.13"
"195",1990-10-05,"84.24"
"196",1990-10-08,"83.57"
"197",1990-10-09,"83.21"
"198",1990-10-10,"83.29"
"199",1990-10-11,"82.79"
"200",1990-10-12,"83.16"
"201",1990-10-15,"83.25"
"202",1990-10-16,"82.59"
"203",1990-10-17,"82.56"
"204",1990-10-18,"81.96"
"205",1990-10-19,"82.30"
"206",1990-10-22,"82.96"
"207",1990-10-23,"83.16"
"208",1990-10-24,"82.48"
"209",1990-10-25,"83.04"
"210",1990-10-26,"82.88"
"211",1990-10-29,"83.24"
"212",1990-10-30,"82.99"
"213",1990-10-31,"83.27"
"214",1990-11-01,"82.82"
"215",1990-11-02,"82.22"
"216",1990-11-05,"81.71"
"217",1990-11-06,"82.11"
"218",1990-11-07,"82.04"
"219",1990-11-08,"82.32"
"220",1990-11-09,"82.12"
"221",1990-11-12,"81.71"
"222",1990-11-13,"81.85"
"223",1990-11-14,"81.63"
"224",1990-11-15,"81.84"
"225",1990-11-16,"81.59"
"226",1990-11-19,"81.54"
"227",1990-11-20,"81.63"
"228",1990-11-21,"81.51"
"229",1990-11-23,"81.86"
"230",1990-11-26,"82.10"
"231",1990-11-27,"81.71"
"232",1990-11-28,"82.23"
"233",1990-11-29,"83.21"
"234",1990-11-30,"82.94"
"235",1990-12-03,"83.82"
"236",1990-12-04,"83.23"
"237",1990-12-05,"83.21"
"238",1990-12-06,"82.71"
"239",1990-12-07,"81.93"
"240",1990-12-10,"82.10"
"241",1990-12-11,"82.33"
"242",1990-12-12,"82.13"
"243",1990-12-13,"82.31"
"244",1990-12-14,"82.58"
"245",1990-12-17,"82.78"
"246",1990-12-18,"82.34"
"247",1990-12-19,"82.61"
"248",1990-12-20,"83.89"
"249",1990-12-21,"84.70"
"250",1990-12-24,"85.29"
"251",1990-12-26,"85.03"
"252",1990-12-27,"84.73"
"253",1990-12-28,"83.26"
"254",1990-12-31,"83.12"
"255",1991-01-02,"82.81"
"256",1991-01-03,"82.81"
"257",1991-01-04,"83.36"
"258",1991-01-07,"84.67"
"259",1991-01-08,"84.95"
"260",1991-01-09,"84.53"
"261",1991-01-10,"84.19"
"262",1991-01-11,"84.29"
"263",1991-01-14,"84.83"
"264",1991-01-15,"84.85"
"265",1991-01-16,"85.11"
"266",1991-01-17,"83.37"
"267",1991-01-18,"82.94"
"268",1991-01-21,"82.59"
"269",1991-01-22,"82.79"
"270",1991-01-23,"82.21"
"271",1991-01-24,"82.46"
"272",1991-01-25,"82.63"
"273",1991-01-28,"82.41"
"274",1991-01-29,"82.70"
"275",1991-01-30,"82.34"
"276",1991-01-31,"82.00"
"277",1991-02-01,"81.64"
"278",1991-02-04,"81.38"
"279",1991-02-05,"81.06"
"280",1991-02-06,"80.52"
"281",1991-02-07,"80.87"
"282",1991-02-08,"80.84"
"283",1991-02-11,"80.49"
"284",1991-02-12,"80.89"
"285",1991-02-13,"81.23"
"286",1991-02-14,"81.36"
"287",1991-02-15,"81.92"
"288",1991-02-19,"82.61"
"289",1991-02-20,"82.67"
"290",1991-02-21,"82.47"
"291",1991-02-22,"83.12"
"292",1991-02-25,"83.85"
"293",1991-02-26,"83.93"
"294",1991-02-27,"83.84"
"295",1991-02-28,"84.07"
"296",1991-03-01,"84.84"
"297",1991-03-04,"84.73"
"298",1991-03-05,"85.05"
"299",1991-03-06,"84.94"
"300",1991-03-07,"85.24"
"301",1991-03-08,"86.31"
"302",1991-03-11,"86.90"
"303",1991-03-12,"86.21"
"304",1991-03-13,"86.35"
"305",1991-03-14,"86.72"
"306",1991-03-15,"87.90"
"307",1991-03-18,"88.87"
"308",1991-03-19,"89.64"
"309",1991-03-20,"89.41"
"310",1991-03-21,"88.87"
"311",1991-03-22,"89.47"
"312",1991-03-25,"91.08"
"313",1991-03-26,"91.04"
"314",1991-03-27,"91.87"
"315",1991-03-28,"92.01"
"316",1991-04-01,"90.55"
"317",1991-04-02,"90.35"
"318",1991-04-03,"90.46"
"319",1991-04-04,"89.93"
"320",1991-04-05,"90.64"
"321",1991-04-08,"90.96"
"322",1991-04-09,"89.62"
"323",1991-04-10,"90.52"
"324",1991-04-11,"89.94"
"325",1991-04-12,"90.36"
"326",1991-04-15,"89.64"
"327",1991-04-16,"89.57"
"328",1991-04-17,"89.84"
"329",1991-04-18,"91.35"
"330",1991-04-19,"92.71"
"331",1991-04-22,"93.81"
"332",1991-04-23,"92.93"
"333",1991-04-24,"93.15"
"334",1991-04-25,"93.26"
"335",1991-04-26,"93.46"
"336",1991-04-29,"93.31"
"337",1991-04-30,"91.54"
"338",1991-05-01,"91.86"
"339",1991-05-02,"92.26"
"340",1991-05-03,"93.41"
"341",1991-05-06,"92.69"
"342",1991-05-07,"92.07"
"343",1991-05-08,"92.60"
"344",1991-05-09,"92.51"
"345",1991-05-10,"92.38"
"346",1991-05-13,"92.01"
"347",1991-05-14,"91.29"
"348",1991-05-15,"90.79"
"349",1991-05-16,"91.15"
"350",1991-05-17,"92.95"
"351",1991-05-20,"92.72"
"352",1991-05-21,"91.82"
"353",1991-05-22,"92.27"
"354",1991-05-23,"91.90"
"355",1991-05-24,"91.68"
"356",1991-05-28,"91.17"
"357",1991-05-29,"92.02"
"358",1991-05-30,"92.18"
"359",1991-05-31,"93.15"
"360",1991-06-03,"93.44"
"361",1991-06-04,"93.27"
"362",1991-06-05,"93.49"
"363",1991-06-06,"93.70"
"364",1991-06-07,"94.56"
"365",1991-06-10,"94.56"
"366",1991-06-11,"94.85"
"367",1991-06-12,"95.56"
"368",1991-06-13,"95.91"
"369",1991-06-14,"95.79"
"370",1991-06-17,"95.78"
"371",1991-06-18,"96.73"
"372",1991-06-19,"95.60"
"373",1991-06-20,"95.45"
"374",1991-06-21,"95.91"
"375",1991-06-24,"95.05"
"376",1991-06-25,"95.55"
"377",1991-06-26,"95.30"
"378",1991-06-27,"95.50"
"379",1991-06-28,"96.03"
"380",1991-07-01,"96.81"
"381",1991-07-02,"97.15"
"382",1991-07-03,"97.07"
"383",1991-07-05,"96.72"
"384",1991-07-08,"96.03"
"385",1991-07-09,"96.48"
"386",1991-07-10,"96.35"
