"","Date","LBUSTRUU.Index"
"3",1990-01-03,"396.36"
"4",1990-01-04,"396.88"
"5",1990-01-05,"396.72"
"6",1990-01-08,"396.72"
"7",1990-01-09,"396.80"
"8",1990-01-10,"396.92"
"9",1990-01-11,"396.96"
"10",1990-01-12,"396.32"
"11",1990-01-15,"396.60"
"12",1990-01-16,"395.01"
"13",1990-01-17,"395.13"
"14",1990-01-18,"393.03"
"15",1990-01-19,"393.98"
"16",1990-01-22,"394.14"
"17",1990-01-23,"394.54"
"18",1990-01-24,"392.95"
"19",1990-01-25,"392.31"
"20",1990-01-26,"390.88"
"21",1990-01-29,"391.28"
"22",1990-01-30,"390.76"
"23",1990-01-31,"392.48"
"24",1990-02-01,"393.02"
"25",1990-02-02,"392.00"
"26",1990-02-05,"391.84"
"27",1990-02-06,"391.29"
"28",1990-02-07,"391.49"
"29",1990-02-08,"392.20"
"30",1990-02-09,"394.24"
"31",1990-02-12,"393.65"
"32",1990-02-13,"395.22"
"33",1990-02-14,"395.26"
"34",1990-02-15,"393.77"
"35",1990-02-16,"394.16"
"36",1990-02-20,"391.14"
"37",1990-02-21,"391.29"
"38",1990-02-22,"392.90"
"39",1990-02-23,"392.98"
"40",1990-02-26,"394.47"
"41",1990-02-27,"395.34"
"42",1990-02-28,"393.75"
"43",1990-03-01,"392.47"
"44",1990-03-02,"393.29"
"45",1990-03-05,"391.64"
"46",1990-03-06,"392.74"
"47",1990-03-07,"393.06"
"48",1990-03-08,"393.33"
"49",1990-03-09,"392.03"
"50",1990-03-12,"392.43"
"51",1990-03-13,"391.01"
"52",1990-03-14,"392.66"
"53",1990-03-15,"392.55"
"54",1990-03-16,"394.00"
"55",1990-03-19,"394.32"
"56",1990-03-20,"395.38"
"57",1990-03-21,"395.03"
"58",1990-03-22,"395.34"
"59",1990-03-23,"395.74"
"60",1990-03-26,"396.44"
"61",1990-03-27,"396.13"
"62",1990-03-28,"396.56"
"63",1990-03-29,"395.07"
"64",1990-03-30,"394.04"
