"","Date","LEGATRUU.Index"
"3",1990-02-28,"98.14"
"4",1990-03-30,"97.62"
"5",1990-04-30,"97.11"
"6",1990-05-31,"100.20"
"7",1990-06-29,"102.05"
"8",1990-07-31,"104.73"
"9",1990-08-31,"103.68"
"10",1990-09-28,"104.64"
"11",1990-10-31,"107.96"
"12",1990-11-30,"109.93"
"13",1990-12-31,"111.22"
"14",1991-01-31,"113.62"
"15",1991-02-28,"114.17"
"16",1991-03-28,"111.70"
"17",1991-03-29,"111.70"
"18",1991-04-30,"112.98"
"19",1991-05-31,"113.33"
"20",1991-06-28,"112.40"
"21",1991-07-31,"114.52"
"22",1991-08-30,"116.87"
"23",1991-09-30,"120.71"
"24",1991-10-31,"122.15"
"25",1991-11-29,"123.65"
"26",1991-12-31,"129.06"
"27",1992-01-31,"127.06"
"28",1992-02-28,"127.06"
"29",1992-03-31,"125.97"
"30",1992-04-30,"126.79"
"31",1992-05-29,"130.38"
"32",1992-06-30,"133.35"
"33",1992-07-31,"136.09"
"34",1992-08-31,"138.98"
"35",1992-09-30,"139.47"
"36",1992-10-30,"136.34"
"37",1992-11-30,"135.05"
"38",1992-12-31,"136.54"
"39",1993-01-29,"138.89"
"40",1993-02-26,"141.08"
"41",1993-03-31,"142.61"
"42",1993-04-30,"144.66"
"43",1993-05-28,"145.64"
"44",1993-06-30,"146.39"
"45",1993-07-30,"146.44"
"46",1993-08-31,"150.17"
"47",1993-09-30,"151.47"
"48",1993-10-29,"151.62"
"49",1993-11-30,"150.27"
"50",1993-12-31,"151.67"
"51",1994-01-31,"153.47"
"52",1994-02-28,"151.54"
"53",1994-03-31,"149.70"
"54",1994-04-29,"149.34"
"55",1994-05-31,"148.50"
"56",1994-06-30,"149.50"
"57",1994-07-29,"151.67"
"58",1994-08-31,"151.49"
"59",1994-09-30,"151.25"
"60",1994-10-31,"152.84"
"61",1994-11-30,"151.31"
"62",1994-12-30,"152.02"
"63",1995-01-31,"155.20"
"64",1995-02-28,"159.03"
"65",1995-03-31,"164.35"
"66",1995-04-28,"166.92"
"67",1995-05-31,"172.06"
"68",1995-06-30,"173.24"
"69",1995-07-31,"174.05"
"70",1995-08-31,"171.93"
"71",1995-09-29,"175.12"
"72",1995-10-31,"177.21"
"73",1995-11-30,"179.32"
"74",1995-12-29,"181.91"
"75",1996-01-31,"181.21"
"76",1996-02-29,"179.56"
"77",1996-03-29,"179.01"
"78",1996-04-30,"178.18"
"79",1996-05-31,"178.35"
"80",1996-06-28,"180.45"
"81",1996-07-31,"182.80"
"82",1996-08-30,"183.16"
"83",1996-09-30,"185.16"
"84",1996-10-31,"189.21"
"85",1996-11-29,"192.17"
"86",1996-12-31,"190.84"
"87",1997-01-31,"187.76"
"88",1997-02-28,"186.88"
"89",1997-03-31,"185.13"
"90",1997-04-30,"185.55"
"91",1997-05-30,"188.84"
"92",1997-06-30,"190.88"
"93",1997-07-31,"191.76"
"94",1997-08-29,"191.32"
"95",1997-09-30,"195.20"
"96",1997-10-31,"198.75"
"97",1997-11-28,"197.67"
"98",1997-12-31,"198.06"
"99",1998-01-30,"199.94"
"100",1998-02-27,"201.04"
"101",1998-03-31,"200.52"
"102",1998-04-30,"203.01"
"103",1998-05-29,"204.43"
"104",1998-06-30,"204.82"
"105",1998-07-31,"206.03"
"106",1998-08-31,"210.35"
"107",1998-09-30,"220.31"
"108",1998-10-30,"223.13"
"109",1998-11-30,"221.78"
"110",1998-12-31,"225.21"
"111",1999-01-04,"226.30"
"112",1999-01-05,"226.00"
"113",1999-01-06,"225.72"
"114",1999-01-07,"225.49"
"115",1999-01-08,"224.12"
"116",1999-01-11,"224.09"
"117",1999-01-12,"224.07"
"118",1999-01-13,"224.73"
"119",1999-01-14,"226.50"
"120",1999-01-15,"225.34"
"121",1999-01-19,"225.60"
"122",1999-01-20,"225.14"
"123",1999-01-21,"225.69"
"124",1999-01-22,"226.06"
"125",1999-01-25,"225.91"
"126",1999-01-26,"225.99"
"127",1999-01-27,"225.30"
"128",1999-01-28,"224.53"
"129",1999-01-29,"224.32"
"130",1999-02-01,"223.47"
"131",1999-02-02,"223.62"
"132",1999-02-03,"223.26"
"133",1999-02-04,"222.45"
"134",1999-02-05,"222.29"
"135",1999-02-08,"221.90"
"136",1999-02-09,"222.68"
"137",1999-02-10,"222.80"
"138",1999-02-11,"222.86"
"139",1999-02-12,"221.68"
"140",1999-02-16,"220.38"
"141",1999-02-17,"220.97"
"142",1999-02-18,"220.61"
"143",1999-02-19,"219.68"
"144",1999-02-22,"219.52"
"145",1999-02-23,"218.67"
"146",1999-02-24,"217.79"
"147",1999-02-25,"217.97"
"148",1999-02-26,"217.65"
"149",1999-03-01,"216.39"
"150",1999-03-02,"216.58"
"151",1999-03-03,"216.15"
"152",1999-03-04,"214.91"
"153",1999-03-05,"216.33"
"154",1999-03-08,"216.63"
"155",1999-03-09,"217.02"
"156",1999-03-10,"218.31"
"157",1999-03-11,"217.01"
"158",1999-03-12,"218.45"
"159",1999-03-15,"218.77"
"160",1999-03-16,"219.03"
"161",1999-03-17,"219.71"
"162",1999-03-18,"219.89"
"163",1999-03-19,"219.27"
"164",1999-03-22,"218.83"
"165",1999-03-23,"218.69"
"166",1999-03-24,"219.13"
"167",1999-03-25,"218.54"
"168",1999-03-26,"216.89"
"169",1999-03-29,"216.71"
"170",1999-03-30,"217.34"
"171",1999-03-31,"217.94"
"172",1999-04-01,"217.73"
"173",1999-04-05,"218.26"
"174",1999-04-06,"218.11"
"175",1999-04-07,"218.58"
"176",1999-04-08,"219.50"
"177",1999-04-09,"219.27"
"178",1999-04-12,"220.25"
"179",1999-04-13,"219.47"
"180",1999-04-14,"219.83"
"181",1999-04-15,"218.94"
"182",1999-04-16,"218.69"
"183",1999-04-19,"218.28"
"184",1999-04-20,"219.01"
"185",1999-04-21,"218.34"
"186",1999-04-22,"217.93"
"187",1999-04-23,"218.43"
"188",1999-04-26,"218.19"
"189",1999-04-27,"218.65"
"190",1999-04-28,"218.42"
"191",1999-04-29,"218.55"
"192",1999-04-30,"217.72"
"193",1999-05-03,"217.82"
"194",1999-05-04,"217.42"
"195",1999-05-05,"218.04"
"196",1999-05-06,"218.40"
"197",1999-05-07,"218.45"
"198",1999-05-10,"218.63"
"199",1999-05-11,"217.68"
"200",1999-05-12,"217.41"
"201",1999-05-13,"217.54"
"202",1999-05-14,"216.87"
"203",1999-05-17,"216.51"
"204",1999-05-18,"216.44"
"205",1999-05-19,"216.32"
"206",1999-05-20,"216.17"
"207",1999-05-21,"215.92"
"208",1999-05-24,"216.18"
"209",1999-05-25,"216.75"
"210",1999-05-26,"215.57"
"211",1999-05-27,"214.83"
"212",1999-05-28,"214.55"
"213",1999-06-01,"213.81"
"214",1999-06-02,"212.68"
"215",1999-06-03,"212.61"
"216",1999-06-04,"212.13"
"217",1999-06-07,"212.35"
"218",1999-06-08,"213.56"
"219",1999-06-09,"213.50"
"220",1999-06-10,"213.31"
"221",1999-06-11,"212.91"
"222",1999-06-14,"212.47"
"223",1999-06-15,"212.39"
"224",1999-06-16,"211.88"
"225",1999-06-17,"212.86"
"226",1999-06-18,"213.09"
"227",1999-06-21,"211.79"
"228",1999-06-22,"211.33"
"229",1999-06-23,"210.60"
"230",1999-06-24,"210.20"
"231",1999-06-25,"211.55"
"232",1999-06-28,"211.15"
"233",1999-06-29,"211.11"
"234",1999-06-30,"211.44"
"235",1999-07-01,"210.86"
"236",1999-07-02,"210.78"
"237",1999-07-06,"210.46"
"238",1999-07-07,"209.81"
"239",1999-07-08,"209.46"
"240",1999-07-09,"209.69"
"241",1999-07-12,"209.95"
"242",1999-07-13,"210.91"
"243",1999-07-14,"211.14"
"244",1999-07-15,"211.10"
"245",1999-07-16,"210.89"
"246",1999-07-19,"210.88"
"247",1999-07-20,"213.04"
"248",1999-07-21,"214.16"
"249",1999-07-22,"213.74"
"250",1999-07-23,"213.35"
"251",1999-07-26,"214.82"
"252",1999-07-27,"214.76"
"253",1999-07-28,"214.69"
"254",1999-07-29,"214.96"
"255",1999-07-30,"214.69"
"256",1999-08-02,"213.95"
"257",1999-08-03,"213.61"
"258",1999-08-04,"214.29"
"259",1999-08-05,"215.03"
"260",1999-08-06,"213.87"
"261",1999-08-09,"212.53"
"262",1999-08-10,"212.78"
"263",1999-08-11,"212.56"
"264",1999-08-12,"212.79"
"265",1999-08-13,"212.78"
"266",1999-08-16,"212.98"
"267",1999-08-17,"213.08"
"268",1999-08-18,"214.05"
"269",1999-08-19,"214.91"
"270",1999-08-20,"215.26"
"271",1999-08-23,"214.78"
"272",1999-08-24,"214.44"
"273",1999-08-25,"214.52"
"274",1999-08-26,"214.24"
"275",1999-08-27,"213.81"
"276",1999-08-30,"213.29"
"277",1999-08-31,"214.35"
"278",1999-09-01,"214.53"
"279",1999-09-02,"214.94"
"280",1999-09-03,"214.95"
"281",1999-09-07,"214.23"
"282",1999-09-08,"214.50"
"283",1999-09-09,"214.58"
"284",1999-09-10,"214.18"
"285",1999-09-13,"213.76"
"286",1999-09-14,"214.08"
"287",1999-09-15,"214.13"
"288",1999-09-16,"214.70"
"289",1999-09-17,"214.69"
"290",1999-09-20,"214.60"
"291",1999-09-21,"215.46"
"292",1999-09-22,"215.85"
"293",1999-09-23,"215.78"
"294",1999-09-24,"216.91"
"295",1999-09-27,"215.73"
"296",1999-09-28,"215.92"
"297",1999-09-29,"216.19"
"298",1999-09-30,"216.99"
"299",1999-10-01,"216.84"
"300",1999-10-04,"216.97"
"301",1999-10-05,"216.31"
"302",1999-10-06,"216.20"
"303",1999-10-07,"216.39"
"304",1999-10-08,"215.67"
"305",1999-10-12,"216.13"
"306",1999-10-13,"215.97"
"307",1999-10-14,"216.02"
"308",1999-10-15,"217.20"
"309",1999-10-18,"217.00"
"310",1999-10-19,"216.40"
"311",1999-10-20,"215.81"
"312",1999-10-21,"216.29"
"313",1999-10-22,"215.44"
"314",1999-10-25,"215.23"
"315",1999-10-26,"214.66"
"316",1999-10-27,"215.02"
"317",1999-10-28,"215.50"
"318",1999-10-29,"216.66"
"319",1999-11-01,"216.46"
"320",1999-11-02,"217.04"
"321",1999-11-03,"216.69"
"322",1999-11-04,"217.19"
"323",1999-11-05,"216.89"
"324",1999-11-08,"216.84"
"325",1999-11-09,"217.17"
"326",1999-11-10,"217.19"
"327",1999-11-12,"217.01"
"328",1999-11-15,"217.19"
"329",1999-11-16,"216.88"
"330",1999-11-17,"216.90"
"331",1999-11-18,"215.83"
"332",1999-11-19,"215.46"
"333",1999-11-22,"215.93"
"334",1999-11-23,"215.97"
"335",1999-11-24,"214.67"
"336",1999-11-26,"214.45"
"337",1999-11-29,"213.75"
"338",1999-11-30,"214.29"
"339",1999-12-01,"214.40"
"340",1999-12-02,"213.58"
"341",1999-12-03,"214.03"
"342",1999-12-06,"215.96"
"343",1999-12-07,"216.63"
"344",1999-12-08,"216.40"
"345",1999-12-09,"216.27"
"346",1999-12-10,"216.78"
"347",1999-12-13,"216.07"
"348",1999-12-14,"214.61"
"349",1999-12-15,"214.45"
"350",1999-12-16,"214.80"
"351",1999-12-17,"213.90"
"352",1999-12-20,"213.81"
"353",1999-12-21,"214.04"
"354",1999-12-22,"214.03"
"355",1999-12-23,"214.67"
"356",1999-12-27,"214.60"
"357",1999-12-28,"214.22"
"358",1999-12-29,"214.19"
"359",1999-12-30,"213.79"
"360",1999-12-31,"213.56"
"361",2000-01-03,"214.31"
"362",2000-01-04,"214.79"
"363",2000-01-05,"214.37"
"364",2000-01-06,"214.33"
"365",2000-01-07,"214.36"
"366",2000-01-10,"214.28"
"367",2000-01-11,"213.58"
"368",2000-01-12,"213.10"
"369",2000-01-13,"213.63"
"370",2000-01-14,"212.39"
"371",2000-01-18,"211.89"
