"","Date","LF98TRUU.Index"
"3",1990-02-28,"190.20"
"4",1990-03-30,"195.19"
"5",1990-04-30,"194.86"
"6",1990-05-31,"198.62"
"7",1990-06-29,"203.42"
"8",1990-07-31,"208.90"
"9",1990-08-31,"197.01"
"10",1990-09-28,"182.63"
"11",1990-10-31,"173.04"
"12",1990-11-30,"178.44"
"13",1990-12-31,"179.44"
"14",1991-01-31,"184.37"
"15",1991-02-28,"204.54"
"16",1991-03-28,"216.59"
"17",1991-03-29,"216.59"
"18",1991-04-30,"225.47"
"19",1991-05-31,"225.88"
"20",1991-06-28,"232.56"
"21",1991-07-31,"240.00"
"22",1991-08-30,"245.52"
"23",1991-09-30,"248.94"
"24",1991-10-31,"257.25"
"25",1991-11-29,"258.59"
"26",1991-12-31,"262.31"
"27",1992-01-31,"271.55"
"28",1992-02-28,"278.25"
"29",1992-03-31,"281.70"
"30",1992-04-30,"282.77"
"31",1992-05-29,"286.76"
"32",1992-06-30,"289.46"
"33",1992-07-31,"293.83"
"34",1992-08-31,"297.68"
"35",1992-09-30,"300.71"
"36",1992-10-30,"296.47"
"37",1992-11-30,"300.20"
"38",1992-12-31,"303.63"
"39",1993-01-29,"312.46"
"40",1993-02-26,"317.97"
"41",1993-03-31,"322.06"
"42",1993-04-30,"324.87"
"43",1993-05-28,"328.73"
"44",1993-06-30,"335.63"
"45",1993-07-30,"338.87"
"46",1993-08-31,"341.73"
"47",1993-09-30,"342.61"
"48",1993-10-29,"349.55"
"49",1993-11-30,"351.23"
"50",1993-12-31,"355.60"
"51",1994-01-31,"363.32"
"52",1994-02-28,"362.37"
"53",1994-03-31,"348.68"
"54",1994-04-29,"346.29"
"55",1994-05-31,"346.47"
"56",1994-06-30,"347.54"
"57",1994-07-29,"350.49"
"58",1994-08-31,"352.97"
"59",1994-09-30,"352.99"
"60",1994-10-31,"353.83"
"61",1994-11-30,"349.37"
"62",1994-12-30,"351.94"
"63",1995-01-31,"356.71"
"64",1995-02-28,"368.94"
"65",1995-03-31,"372.91"
"66",1995-04-28,"382.40"
"67",1995-05-31,"393.12"
"68",1995-06-30,"395.62"
"69",1995-07-31,"400.62"
"70",1995-08-31,"401.87"
"71",1995-09-29,"406.81"
"72",1995-10-31,"409.32"
"73",1995-11-30,"412.93"
"74",1995-12-29,"419.42"
"75",1996-01-31,"426.80"
"76",1996-02-29,"427.14"
"77",1996-03-29,"426.85"
"78",1996-04-30,"427.79"
"79",1996-05-31,"430.36"
"80",1996-06-28,"433.92"
"81",1996-07-31,"435.94"
"82",1996-08-30,"440.65"
"83",1996-09-30,"451.27"
"84",1996-10-31,"454.74"
"85",1996-11-29,"463.71"
"86",1996-12-31,"467.03"
"87",1997-01-31,"471.59"
"88",1997-02-28,"479.39"
"89",1997-03-31,"472.25"
"90",1997-04-30,"477.23"
"91",1997-05-30,"487.44"
"92",1997-06-30,"494.20"
"93",1997-07-31,"507.77"
"94",1997-08-29,"506.62"
"95",1997-09-30,"516.66"
"96",1997-10-31,"517.12"
"97",1997-11-28,"522.06"
"98",1997-12-31,"526.64"
"99",1998-01-30,"536.12"
"100",1998-02-27,"539.26"
"101",1998-03-31,"544.32"
"102",1998-04-30,"546.47"
"103",1998-05-29,"548.37"
"104",1998-06-30,"550.34"
"105",1998-07-31,"553.47"
"106",1998-08-07,"554.64"
"107",1998-08-10,"552.75"
"108",1998-08-11,"552.37"
"109",1998-08-12,"551.29"
"110",1998-08-13,"550.30"
"111",1998-08-14,"550.00"
"112",1998-08-17,"548.59"
"113",1998-08-18,"547.50"
"114",1998-08-19,"547.30"
"115",1998-08-20,"547.53"
"116",1998-08-21,"545.31"
"117",1998-08-24,"545.06"
"118",1998-08-25,"545.13"
"119",1998-08-26,"544.59"
"120",1998-08-27,"544.43"
"121",1998-08-28,"534.48"
"122",1998-08-31,"522.93"
"123",1998-09-01,"521.40"
"124",1998-09-02,"521.29"
"125",1998-09-03,"521.20"
"126",1998-09-04,"521.30"
"127",1998-09-08,"521.72"
"128",1998-09-09,"522.13"
"129",1998-09-10,"522.13"
"130",1998-09-11,"521.50"
"131",1998-09-14,"521.55"
"132",1998-09-15,"520.44"
"133",1998-09-16,"520.40"
"134",1998-09-17,"520.76"
"135",1998-09-18,"521.03"
"136",1998-09-21,"521.10"
"137",1998-09-22,"521.41"
"138",1998-09-23,"522.59"
"139",1998-09-24,"523.29"
"140",1998-09-25,"523.35"
"141",1998-09-28,"524.34"
"142",1998-09-29,"524.49"
"143",1998-09-30,"525.29"
"144",1998-10-01,"526.07"
"145",1998-10-02,"525.73"
"146",1998-10-05,"526.20"
"147",1998-10-06,"524.10"
"148",1998-10-07,"522.66"
"149",1998-10-08,"519.09"
"150",1998-10-09,"513.41"
"151",1998-10-13,"513.10"
"152",1998-10-14,"512.25"
"153",1998-10-15,"507.75"
"154",1998-10-16,"509.44"
"155",1998-10-19,"509.10"
"156",1998-10-20,"509.45"
"157",1998-10-21,"510.59"
"158",1998-10-22,"511.22"
"159",1998-10-23,"512.20"
"160",1998-10-26,"513.06"
"161",1998-10-27,"513.70"
"162",1998-10-28,"513.78"
"163",1998-10-29,"515.14"
"164",1998-10-30,"514.53"
"165",1998-11-02,"514.51"
"166",1998-11-03,"514.92"
"167",1998-11-04,"516.19"
"168",1998-11-05,"516.46"
"169",1998-11-06,"516.53"
"170",1998-11-09,"519.14"
"171",1998-11-10,"519.86"
"172",1998-11-12,"521.61"
"173",1998-11-13,"522.60"
"174",1998-11-16,"525.60"
"175",1998-11-17,"526.10"
"176",1998-11-18,"526.73"
"177",1998-11-19,"528.03"
"178",1998-11-20,"528.40"
"179",1998-11-23,"528.97"
"180",1998-11-24,"530.90"
"181",1998-11-25,"532.55"
"182",1998-11-27,"534.58"
"183",1998-11-30,"535.88"
"184",1998-12-01,"536.48"
"185",1998-12-02,"537.08"
"186",1998-12-03,"537.03"
"187",1998-12-04,"535.91"
"188",1998-12-07,"535.96"
"189",1998-12-08,"536.46"
"190",1998-12-09,"536.59"
"191",1998-12-10,"536.54"
"192",1998-12-11,"535.50"
"193",1998-12-14,"535.80"
"194",1998-12-15,"534.83"
"195",1998-12-16,"534.81"
"196",1998-12-17,"534.88"
"197",1998-12-18,"534.39"
"198",1998-12-21,"534.45"
"199",1998-12-22,"533.92"
"200",1998-12-23,"533.54"
"201",1998-12-24,"533.42"
"202",1998-12-28,"534.08"
"203",1998-12-29,"534.36"
"204",1998-12-30,"534.84"
"205",1998-12-31,"536.47"
"206",1999-01-04,"536.88"
"207",1999-01-05,"537.14"
"208",1999-01-06,"537.63"
"209",1999-01-07,"537.99"
"210",1999-01-08,"538.79"
"211",1999-01-11,"539.12"
"212",1999-01-12,"539.60"
"213",1999-01-13,"539.36"
"214",1999-01-14,"539.48"
"215",1999-01-15,"539.30"
"216",1999-01-19,"539.92"
"217",1999-01-20,"539.96"
"218",1999-01-21,"540.54"
"219",1999-01-22,"540.58"
"220",1999-01-25,"541.35"
"221",1999-01-26,"541.44"
"222",1999-01-27,"542.62"
"223",1999-01-28,"543.25"
"224",1999-01-29,"544.43"
"225",1999-02-01,"544.05"
"226",1999-02-02,"543.82"
"227",1999-02-03,"543.51"
"228",1999-02-04,"543.48"
"229",1999-02-05,"545.00"
"230",1999-02-08,"545.53"
"231",1999-02-09,"545.78"
"232",1999-02-10,"545.55"
"233",1999-02-11,"545.76"
"234",1999-02-12,"545.14"
"235",1999-02-16,"545.53"
"236",1999-02-17,"545.48"
"237",1999-02-18,"544.98"
"238",1999-02-19,"544.84"
"239",1999-02-22,"545.03"
"240",1999-02-23,"544.58"
"241",1999-02-24,"543.67"
"242",1999-02-25,"540.32"
"243",1999-02-26,"541.23"
"244",1999-03-01,"540.35"
"245",1999-03-02,"540.04"
"246",1999-03-03,"539.19"
"247",1999-03-04,"538.99"
"248",1999-03-05,"539.34"
"249",1999-03-08,"539.74"
"250",1999-03-09,"540.85"
"251",1999-03-10,"541.40"
"252",1999-03-11,"541.87"
"253",1999-03-12,"541.94"
"254",1999-03-15,"541.71"
"255",1999-03-16,"541.90"
"256",1999-03-17,"542.06"
"257",1999-03-18,"542.36"
"258",1999-03-19,"543.97"
"259",1999-03-22,"544.27"
"260",1999-03-23,"544.43"
"261",1999-03-24,"544.66"
"262",1999-03-25,"545.87"
"263",1999-03-26,"545.30"
"264",1999-03-29,"545.20"
"265",1999-03-30,"545.80"
"266",1999-03-31,"546.39"
"267",1999-04-01,"546.46"
"268",1999-04-05,"547.50"
"269",1999-04-06,"548.56"
"270",1999-04-07,"549.13"
"271",1999-04-08,"549.87"
"272",1999-04-09,"551.71"
"273",1999-04-12,"552.25"
"274",1999-04-13,"552.99"
"275",1999-04-14,"553.58"
"276",1999-04-15,"554.12"
"277",1999-04-16,"554.20"
"278",1999-04-19,"555.05"
"279",1999-04-20,"555.38"
"280",1999-04-21,"555.58"
"281",1999-04-22,"555.39"
"282",1999-04-23,"555.66"
"283",1999-04-26,"555.82"
"284",1999-04-27,"555.39"
"285",1999-04-28,"556.52"
"286",1999-04-29,"557.56"
"287",1999-04-30,"556.98"
"288",1999-05-03,"557.13"
"289",1999-05-04,"557.86"
"290",1999-05-05,"557.79"
"291",1999-05-06,"557.15"
"292",1999-05-07,"555.48"
"293",1999-05-10,"555.62"
"294",1999-05-11,"554.77"
"295",1999-05-12,"554.61"
"296",1999-05-13,"554.41"
"297",1999-05-14,"552.95"
"298",1999-05-17,"553.04"
"299",1999-05-18,"553.05"
"300",1999-05-19,"553.32"
"301",1999-05-20,"551.68"
"302",1999-05-21,"552.06"
"303",1999-05-24,"552.45"
"304",1999-05-25,"551.88"
"305",1999-05-26,"551.80"
"306",1999-05-27,"549.56"
"307",1999-05-28,"549.44"
"308",1999-06-01,"548.80"
"309",1999-06-02,"547.93"
"310",1999-06-03,"547.22"
"311",1999-06-04,"547.23"
"312",1999-06-07,"547.77"
"313",1999-06-08,"547.83"
"314",1999-06-09,"547.62"
"315",1999-06-10,"547.16"
"316",1999-06-11,"546.05"
"317",1999-06-14,"546.62"
"318",1999-06-15,"546.54"
"319",1999-06-16,"546.51"
"320",1999-06-17,"547.71"
"321",1999-06-18,"547.67"
"322",1999-06-21,"547.81"
"323",1999-06-22,"547.80"
"324",1999-06-23,"547.62"
"325",1999-06-24,"547.45"
"326",1999-06-25,"547.74"
"327",1999-06-28,"548.36"
"328",1999-06-29,"548.35"
"329",1999-06-30,"548.27"
"330",1999-07-01,"548.18"
"331",1999-07-02,"548.41"
"332",1999-07-06,"548.85"
"333",1999-07-07,"548.93"
"334",1999-07-08,"549.50"
"335",1999-07-09,"550.04"
"336",1999-07-12,"552.50"
"337",1999-07-13,"553.17"
"338",1999-07-14,"553.62"
"339",1999-07-15,"554.18"
"340",1999-07-16,"554.55"
"341",1999-07-19,"555.15"
"342",1999-07-20,"555.28"
"343",1999-07-21,"555.33"
"344",1999-07-22,"554.86"
"345",1999-07-23,"553.46"
"346",1999-07-26,"553.10"
"347",1999-07-27,"553.20"
"348",1999-07-28,"553.13"
"349",1999-07-29,"550.37"
"350",1999-07-30,"550.47"
"351",1999-08-02,"550.12"
"352",1999-08-03,"548.96"
"353",1999-08-04,"549.40"
"354",1999-08-05,"548.61"
"355",1999-08-06,"547.92"
"356",1999-08-09,"545.29"
"357",1999-08-10,"543.88"
"358",1999-08-11,"544.28"
"359",1999-08-12,"543.81"
"360",1999-08-13,"543.76"
"361",1999-08-16,"544.17"
"362",1999-08-17,"544.72"
"363",1999-08-18,"544.79"
"364",1999-08-19,"544.73"
"365",1999-08-20,"545.32"
"366",1999-08-23,"545.85"
"367",1999-08-24,"545.89"
"368",1999-08-25,"546.54"
"369",1999-08-26,"546.39"
"370",1999-08-27,"545.89"
"371",1999-08-30,"545.83"
"372",1999-08-31,"544.39"
"373",1999-09-01,"543.83"
"374",1999-09-02,"543.58"
"375",1999-09-03,"544.24"
"376",1999-09-07,"544.58"
"377",1999-09-08,"543.24"
"378",1999-09-09,"543.15"
"379",1999-09-10,"543.65"
"380",1999-09-13,"543.54"
