"","Date","LGTRTRUU.Index"
"3",2000-10-31,"98.51"
"4",2000-11-30,"100.22"
"5",2000-12-29,"103.18"
"6",2001-01-16,"102.45"
"7",2001-01-17,"102.20"
"8",2001-01-18,"102.90"
"9",2001-01-19,"102.61"
"10",2001-01-22,"102.78"
"11",2001-01-23,"102.83"
"12",2001-01-24,"101.71"
"13",2001-01-25,"102.15"
"14",2001-01-26,"102.21"
"15",2001-01-29,"102.11"
"16",2001-01-30,"102.54"
"17",2001-01-31,"103.08"
"18",2001-02-02,"103.36"
"19",2001-02-05,"104.01"
"20",2001-02-06,"103.52"
"21",2001-02-07,"103.66"
"22",2001-02-08,"102.68"
"23",2001-02-09,"102.69"
"24",2001-02-12,"102.88"
"25",2001-02-13,"102.65"
"26",2001-02-14,"102.66"
"27",2001-02-15,"102.07"
"28",2001-02-16,"102.80"
"29",2001-02-19,"102.91"
"30",2001-02-20,"102.54"
"31",2001-02-21,"102.32"
"32",2001-02-22,"102.08"
"33",2001-02-23,"102.27"
"34",2001-02-26,"102.40"
"35",2001-02-27,"103.21"
"36",2001-02-28,"103.06"
"37",2001-03-01,"103.81"
"38",2001-03-02,"103.41"
"39",2001-03-05,"103.08"
"40",2001-03-06,"103.25"
"41",2001-03-07,"103.00"
"42",2001-03-08,"103.29"
"43",2001-03-09,"103.19"
"44",2001-03-12,"102.94"
"45",2001-03-13,"102.50"
"46",2001-03-14,"102.31"
"47",2001-03-15,"101.92"
"48",2001-03-16,"101.34"
"49",2001-03-19,"101.48"
"50",2001-03-20,"101.61"
"51",2001-03-21,"101.45"
"52",2001-03-22,"100.77"
"53",2001-03-23,"101.35"
"54",2001-03-26,"101.28"
"55",2001-03-27,"101.04"
"56",2001-03-28,"100.87"
"57",2001-03-29,"100.19"
"58",2001-03-30,"99.80"
"59",2001-04-02,"99.25"
"60",2001-04-03,"99.66"
"61",2001-04-04,"100.46"
"62",2001-04-05,"100.34"
"63",2001-04-06,"101.07"
"64",2001-04-09,"100.79"
"65",2001-04-10,"100.13"
"66",2001-04-11,"99.65"
"67",2001-04-12,"100.10"
"68",2001-04-13,"100.11"
"69",2001-04-16,"99.29"
"70",2001-04-17,"99.47"
"71",2001-04-18,"99.32"
"72",2001-04-19,"100.05"
"73",2001-04-20,"100.39"
"74",2001-04-23,"100.76"
"75",2001-04-24,"100.46"
"76",2001-04-25,"100.59"
"77",2001-04-26,"100.96"
"78",2001-04-27,"99.94"
"79",2001-04-30,"99.64"
"80",2001-05-01,"100.99"
"81",2001-05-02,"101.09"
"82",2001-05-03,"101.63"
"83",2001-05-04,"101.81"
"84",2001-05-07,"101.65"
"85",2001-05-08,"101.28"
"86",2001-05-09,"101.29"
"87",2001-05-10,"101.03"
"88",2001-05-11,"100.49"
"89",2001-05-14,"100.11"
"90",2001-05-15,"100.17"
"91",2001-05-16,"100.45"
"92",2001-05-17,"99.89"
"93",2001-05-18,"99.59"
"94",2001-05-21,"99.74"
"95",2001-05-22,"99.35"
"96",2001-05-23,"99.67"
"97",2001-05-24,"99.60"
"98",2001-05-25,"99.33"
"99",2001-05-28,"99.37"
"100",2001-05-29,"99.54"
"101",2001-05-30,"99.62"
"102",2001-05-31,"99.82"
"103",2001-06-01,"99.98"
"104",2001-06-04,"99.87"
"105",2001-06-05,"99.91"
"106",2001-06-06,"99.66"
"107",2001-06-07,"99.84"
"108",2001-06-08,"99.43"
"109",2001-06-11,"99.02"
"110",2001-06-12,"99.33"
"111",2001-06-13,"99.52"
"112",2001-06-14,"100.18"
"113",2001-06-15,"100.00"
"114",2001-06-18,"99.83"
"115",2001-06-19,"99.70"
"116",2001-06-20,"99.39"
"117",2001-06-21,"99.33"
"118",2001-06-22,"99.53"
"119",2001-06-25,"100.02"
"120",2001-06-26,"99.91"
"121",2001-06-27,"99.77"
"122",2001-06-28,"98.89"
"123",2001-06-29,"98.56"
"124",2001-07-02,"98.67"
"125",2001-07-03,"98.50"
