"","Date","LUACTRUU.Index"
"3",1990-01-03,"452.75"
"4",1990-01-04,"452.98"
"5",1990-01-05,"452.57"
"6",1990-01-08,"452.61"
"7",1990-01-09,"452.61"
"8",1990-01-10,"452.52"
"9",1990-01-11,"452.61"
"10",1990-01-12,"451.39"
"11",1990-01-15,"451.80"
"12",1990-01-16,"450.93"
"13",1990-01-17,"451.11"
"14",1990-01-18,"448.30"
"15",1990-01-19,"449.80"
"16",1990-01-22,"449.89"
"17",1990-01-23,"450.48"
"18",1990-01-24,"447.98"
"19",1990-01-25,"447.03"
"20",1990-01-26,"445.08"
"21",1990-01-29,"445.58"
"22",1990-01-30,"444.90"
"23",1990-01-31,"448.15"
"24",1990-02-01,"448.88"
"25",1990-02-02,"447.22"
"26",1990-02-05,"446.91"
"27",1990-02-06,"446.06"
"28",1990-02-07,"446.19"
"29",1990-02-08,"447.04"
"30",1990-02-09,"451.08"
"31",1990-02-12,"450.45"
"32",1990-02-13,"451.62"
"33",1990-02-14,"451.62"
"34",1990-02-15,"449.82"
"35",1990-02-16,"450.09"
"36",1990-02-20,"446.24"
"37",1990-02-21,"446.28"
"38",1990-02-22,"448.21"
"39",1990-02-23,"448.34"
"40",1990-02-26,"450.41"
"41",1990-02-27,"451.75"
"42",1990-02-28,"449.45"
"43",1990-03-01,"448.12"
"44",1990-03-02,"448.93"
"45",1990-03-05,"446.72"
"46",1990-03-06,"448.16"
"47",1990-03-07,"448.75"
"48",1990-03-08,"449.15"
"49",1990-03-09,"447.04"
"50",1990-03-12,"447.80"
"51",1990-03-13,"445.96"
"52",1990-03-14,"448.03"
"53",1990-03-15,"448.16"
"54",1990-03-16,"449.82"
"55",1990-03-19,"450.32"
"56",1990-03-20,"451.94"
"57",1990-03-21,"451.53"
"58",1990-03-22,"451.71"
"59",1990-03-23,"452.21"
"60",1990-03-26,"452.88"
"61",1990-03-27,"452.57"
"62",1990-03-28,"453.06"
"63",1990-03-29,"451.22"
"64",1990-03-30,"449.86"
"65",1990-04-02,"450.00"
