"","Date","LUATTRUU.Index"
"3",1990-02-28,"461.62"
"4",1990-03-30,"461.47"
"5",1990-04-30,"457.23"
"6",1990-05-31,"470.09"
"7",1990-06-29,"477.54"
"8",1990-07-31,"483.59"
"9",1990-08-31,"476.63"
"10",1990-09-28,"481.21"
"11",1990-10-31,"489.14"
"12",1990-11-30,"499.97"
"13",1990-12-31,"507.75"
"14",1991-01-31,"513.19"
"15",1991-02-28,"515.93"
"16",1991-03-28,"518.53"
"17",1991-03-29,"518.53"
"18",1991-04-30,"524.23"
"19",1991-05-31,"526.18"
"20",1991-06-28,"525.39"
"21",1991-07-31,"531.54"
"22",1991-08-30,"543.85"
"23",1991-09-30,"555.31"
"24",1991-10-31,"560.24"
"25",1991-11-29,"565.85"
"26",1991-12-31,"585.40"
"27",1992-01-31,"576.03"
"28",1992-02-28,"578.26"
"29",1992-03-31,"574.79"
"30",1992-04-30,"578.39"
"31",1992-05-29,"589.02"
"32",1992-06-30,"597.55"
"33",1992-07-31,"612.79"
"34",1992-08-31,"618.59"
"35",1992-09-30,"627.61"
"36",1992-10-30,"618.39"
"37",1992-11-30,"617.13"
"38",1992-12-31,"627.63"
"39",1993-01-29,"641.10"
"40",1993-02-26,"653.96"
"41",1993-03-31,"656.13"
"42",1993-04-30,"661.28"
"43",1993-05-28,"660.47"
"44",1993-06-30,"675.25"
"45",1993-07-30,"679.22"
"46",1993-08-31,"694.35"
"47",1993-09-30,"697.07"
"48",1993-10-29,"699.67"
"49",1993-11-30,"692.00"
"50",1993-12-31,"694.67"
"51",1994-01-31,"704.24"
"52",1994-02-28,"689.12"
"53",1994-03-01,"684.43"
"54",1994-03-02,"684.56"
"55",1994-03-03,"682.84"
"56",1994-03-04,"682.36"
"57",1994-03-07,"684.15"
"58",1994-03-08,"682.50"
"59",1994-03-09,"682.63"
"60",1994-03-10,"679.67"
"61",1994-03-11,"680.70"
"62",1994-03-14,"680.08"
"63",1994-03-15,"680.98"
"64",1994-03-16,"683.53"
"65",1994-03-17,"683.32"
"66",1994-03-18,"680.22"
"67",1994-03-21,"679.12"
"68",1994-03-22,"682.63"
"69",1994-03-23,"682.77"
"70",1994-03-24,"678.43"
"71",1994-03-25,"677.81"
"72",1994-03-28,"678.09"
"73",1994-03-29,"675.47"
"74",1994-03-30,"673.68"
"75",1994-03-31,"673.66"
"76",1994-04-04,"662.74"
"77",1994-04-05,"668.12"
"78",1994-04-06,"669.34"
"79",1994-04-07,"670.82"
"80",1994-04-08,"668.66"
"81",1994-04-11,"669.67"
"82",1994-04-12,"671.69"
"83",1994-04-13,"669.54"
"84",1994-04-14,"668.60"
"85",1994-04-15,"668.66"
"86",1994-04-18,"664.29"
"87",1994-04-19,"665.70"
"88",1994-04-20,"666.98"
"89",1994-04-21,"671.02"
"90",1994-04-22,"670.48"
"91",1994-04-25,"673.24"
"92",1994-04-26,"673.78"
"93",1994-04-28,"668.60"
"94",1994-04-29,"668.39"
"95",1994-05-02,"667.64"
"96",1994-05-03,"666.51"
"97",1994-05-04,"666.44"
"98",1994-05-05,"667.31"
"99",1994-05-06,"660.43"
"100",1994-05-09,"657.15"
"101",1994-05-10,"661.90"
"102",1994-05-11,"659.02"
"103",1994-05-12,"660.16"
"104",1994-05-13,"662.83"
"105",1994-05-16,"664.50"
"106",1994-05-17,"669.25"
"107",1994-05-18,"670.92"
"108",1994-05-19,"673.19"
"109",1994-05-20,"671.05"
"110",1994-05-23,"666.64"
"111",1994-05-24,"667.78"
"112",1994-05-25,"668.51"
"113",1994-05-26,"669.31"
"114",1994-05-31,"667.58"
"115",1994-06-01,"669.03"
"116",1994-06-02,"670.57"
"117",1994-06-03,"673.77"
"118",1994-06-06,"676.44"
"119",1994-06-07,"675.38"
"120",1994-06-08,"674.98"
"121",1994-06-09,"675.11"
"122",1994-06-10,"673.64"
"123",1994-06-13,"672.64"
"124",1994-06-14,"675.11"
"125",1994-06-15,"672.11"
"126",1994-06-16,"673.11"
"127",1994-06-17,"671.10"
"128",1994-06-20,"670.77"
"129",1994-06-21,"668.97"
"130",1994-06-22,"671.97"
"131",1994-06-23,"672.77"
"132",1994-06-24,"669.17"
"133",1994-06-27,"671.04"
"134",1994-06-28,"668.37"
"135",1994-06-29,"669.10"
"136",1994-06-30,"666.08"
"137",1994-07-01,"666.47"
"138",1994-07-05,"667.74"
"139",1994-07-06,"667.87"
"140",1994-07-07,"668.54"
"141",1994-07-08,"664.87"
