"","Date","MXEA.Index"
"3",1990-01-02,"1043.26"
"4",1990-01-03,"1044.80"
"5",1990-01-04,"1054.33"
"6",1990-01-05,"1046.18"
"7",1990-01-08,"1047.86"
"8",1990-01-09,"1040.82"
"9",1990-01-10,"1035.08"
"10",1990-01-11,"1037.13"
"11",1990-01-12,"1028.91"
"12",1990-01-15,"1023.80"
"13",1990-01-16,"1001.73"
"14",1990-01-17,"1003.17"
"15",1990-01-18,"991.37"
"16",1990-01-19,"990.08"
"17",1990-01-22,"993.39"
"18",1990-01-23,"993.14"
"19",1990-01-24,"988.43"
"20",1990-01-25,"994.56"
"21",1990-01-26,"999.61"
"22",1990-01-29,"1014.05"
"23",1990-01-30,"1012.77"
"24",1990-01-31,"1007.80"
"25",1990-02-01,"1012.80"
"26",1990-02-02,"1015.48"
"27",1990-02-05,"1018.04"
"28",1990-02-06,"1022.39"
"29",1990-02-07,"1011.66"
"30",1990-02-08,"1011.70"
"31",1990-02-09,"1003.93"
"32",1990-02-12,"1003.14"
"33",1990-02-13,"997.51"
"34",1990-02-14,"1000.33"
"35",1990-02-15,"1005.41"
"36",1990-02-16,"1009.08"
"37",1990-02-19,"1002.54"
"38",1990-02-20,"988.83"
"39",1990-02-21,"967.91"
"40",1990-02-22,"966.55"
"41",1990-02-23,"943.30"
"42",1990-02-26,"911.56"
"43",1990-02-27,"924.21"
"44",1990-02-28,"936.39"
"45",1990-03-01,"920.62"
"46",1990-03-02,"922.93"
"47",1990-03-05,"922.81"
"48",1990-03-06,"919.02"
"49",1990-03-07,"912.96"
"50",1990-03-08,"918.79"
"51",1990-03-09,"915.47"
"52",1990-03-12,"902.24"
"53",1990-03-13,"887.46"
"54",1990-03-14,"882.00"
"55",1990-03-15,"882.91"
"56",1990-03-16,"888.22"
"57",1990-03-19,"866.65"
"58",1990-03-20,"854.71"
"59",1990-03-21,"849.73"
"60",1990-03-22,"827.92"
"61",1990-03-23,"843.57"
"62",1990-03-26,"863.07"
"63",1990-03-27,"861.50"
"64",1990-03-28,"848.69"
"65",1990-03-29,"851.98"
"66",1990-03-30,"837.74"
"67",1990-04-02,"796.54"
"68",1990-04-03,"817.63"
"69",1990-04-04,"816.81"
"70",1990-04-05,"821.58"
"71",1990-04-06,"839.28"
"72",1990-04-09,"855.65"
"73",1990-04-10,"839.28"
"74",1990-04-11,"840.86"
"75",1990-04-12,"842.64"
"76",1990-04-13,"838.12"
"77",1990-04-16,"828.03"
"78",1990-04-17,"827.76"
"79",1990-04-18,"838.43"
"80",1990-04-19,"851.81"
"81",1990-04-20,"850.85"
"82",1990-04-23,"841.18"
"83",1990-04-24,"833.27"
"84",1990-04-25,"834.56"
"85",1990-04-26,"834.40"
"86",1990-04-27,"830.91"
"87",1990-04-30,"830.00"
"88",1990-05-01,"833.57"
"89",1990-05-02,"845.35"
"90",1990-05-03,"849.12"
"91",1990-05-04,"852.78"
"92",1990-05-07,"870.67"
"93",1990-05-08,"871.61"
"94",1990-05-09,"876.26"
"95",1990-05-10,"874.75"
"96",1990-05-11,"896.54"
"97",1990-05-14,"907.84"
"98",1990-05-15,"913.94"
"99",1990-05-16,"909.22"
"100",1990-05-17,"911.96"
"101",1990-05-18,"907.16"
"102",1990-05-21,"899.74"
"103",1990-05-22,"911.60"
"104",1990-05-23,"916.37"
"105",1990-05-24,"913.00"
"106",1990-05-25,"922.57"
"107",1990-05-28,"927.88"
"108",1990-05-29,"923.07"
"109",1990-05-30,"927.79"
"110",1990-05-31,"923.60"
"111",1990-06-01,"928.77"
"112",1990-06-04,"919.15"
"113",1990-06-05,"921.61"
"114",1990-06-06,"919.99"
"115",1990-06-07,"921.47"
"116",1990-06-08,"911.76"
"117",1990-06-11,"901.35"
"118",1990-06-12,"902.40"
"119",1990-06-13,"903.92"
"120",1990-06-14,"910.23"
"121",1990-06-15,"903.92"
"122",1990-06-18,"902.92"
"123",1990-06-19,"899.37"
"124",1990-06-20,"902.92"
"125",1990-06-21,"900.89"
"126",1990-06-22,"899.53"
"127",1990-06-25,"891.48"
"128",1990-06-26,"897.28"
"129",1990-06-27,"910.82"
"130",1990-06-28,"909.50"
"131",1990-06-29,"914.30"
"132",1990-07-02,"919.06"
"133",1990-07-03,"921.04"
"134",1990-07-04,"930.69"
"135",1990-07-05,"924.56"
"136",1990-07-06,"924.21"
"137",1990-07-09,"927.04"
"138",1990-07-10,"926.68"
"139",1990-07-11,"930.70"
"140",1990-07-12,"930.38"
"141",1990-07-13,"943.58"
"142",1990-07-16,"951.12"
"143",1990-07-17,"951.46"
"144",1990-07-18,"954.34"
"145",1990-07-19,"950.96"
"146",1990-07-20,"941.39"
"147",1990-07-23,"931.66"
"148",1990-07-24,"926.21"
"149",1990-07-25,"924.46"
"150",1990-07-26,"913.73"
"151",1990-07-27,"907.26"
"152",1990-07-30,"908.00"
"153",1990-07-31,"925.96"
"154",1990-08-01,"922.92"
"155",1990-08-02,"896.76"
"156",1990-08-03,"883.04"
"157",1990-08-06,"857.88"
"158",1990-08-07,"852.43"
"159",1990-08-08,"852.10"
"160",1990-08-09,"849.51"
"161",1990-08-10,"844.00"
"162",1990-08-13,"830.46"
"163",1990-08-14,"838.52"
"164",1990-08-15,"869.88"
"165",1990-08-16,"858.60"
"166",1990-08-17,"843.00"
"167",1990-08-20,"836.52"
"168",1990-08-21,"822.81"
"169",1990-08-22,"811.93"
"170",1990-08-23,"783.61"
"171",1990-08-24,"793.83"
"172",1990-08-27,"821.43"
"173",1990-08-28,"837.34"
"174",1990-08-29,"825.02"
"175",1990-08-30,"835.32"
"176",1990-08-31,"834.82"
"177",1990-09-03,"823.05"
"178",1990-09-04,"812.38"
"179",1990-09-05,"809.40"
"180",1990-09-06,"806.21"
"181",1990-09-07,"806.99"
"182",1990-09-10,"825.29"
"183",1990-09-11,"810.61"
"184",1990-09-12,"831.43"
"185",1990-09-13,"824.61"
"186",1990-09-14,"824.89"
"187",1990-09-17,"814.36"
"188",1990-09-18,"802.66"
"189",1990-09-19,"788.90"
"190",1990-09-20,"774.91"
"191",1990-09-21,"772.22"
"192",1990-09-24,"772.14"
"193",1990-09-25,"753.74"
"194",1990-09-26,"735.55"
"195",1990-09-27,"730.28"
"196",1990-09-28,"717.24"
"197",1990-10-01,"723.37"
"198",1990-10-02,"769.88"
"199",1990-10-03,"771.43"
"200",1990-10-04,"769.66"
"201",1990-10-05,"784.77"
"202",1990-10-08,"815.18"
"203",1990-10-09,"808.95"
"204",1990-10-10,"804.39"
"205",1990-10-11,"786.83"
"206",1990-10-12,"795.88"
"207",1990-10-15,"808.40"
"208",1990-10-16,"814.45"
"209",1990-10-17,"827.84"
"210",1990-10-18,"838.63"
"211",1990-10-19,"848.24"
"212",1990-10-22,"857.77"
"213",1990-10-23,"857.72"
"214",1990-10-24,"849.99"
"215",1990-10-25,"859.68"
"216",1990-10-26,"842.95"
"217",1990-10-29,"842.86"
"218",1990-10-30,"827.40"
"219",1990-10-31,"827.71"
"220",1990-11-01,"808.81"
"221",1990-11-02,"812.06"
"222",1990-11-05,"824.98"
"223",1990-11-06,"820.93"
"224",1990-11-07,"812.32"
"225",1990-11-08,"791.84"
"226",1990-11-09,"792.36"
"227",1990-11-12,"797.28"
"228",1990-11-13,"815.34"
"229",1990-11-14,"808.55"
"230",1990-11-15,"804.92"
"231",1990-11-16,"800.87"
"232",1990-11-19,"814.90"
"233",1990-11-20,"809.28"
"234",1990-11-21,"806.28"
"235",1990-11-22,"818.05"
"236",1990-11-23,"818.78"
"237",1990-11-26,"813.75"
"238",1990-11-27,"810.59"
"239",1990-11-28,"799.71"
"240",1990-11-29,"789.19"
"241",1990-11-30,"777.60"
"242",1990-12-03,"782.32"
"243",1990-12-04,"772.40"
"244",1990-12-05,"778.91"
"245",1990-12-06,"801.63"
"246",1990-12-07,"823.80"
"247",1990-12-10,"825.85"
"248",1990-12-11,"825.46"
"249",1990-12-12,"825.26"
"250",1990-12-13,"835.86"
"251",1990-12-14,"825.87"
"252",1990-12-17,"813.55"
"253",1990-12-18,"819.04"
"254",1990-12-19,"821.84"
"255",1990-12-20,"807.08"
"256",1990-12-21,"789.01"
"257",1990-12-24,"784.60"
"258",1990-12-25,"784.60"
"259",1990-12-26,"781.24"
"260",1990-12-27,"782.59"
"261",1990-12-28,"791.74"
"262",1990-12-31,"788.98"
"263",1991-01-01,"788.98"
"264",1991-01-02,"793.93"
"265",1991-01-03,"796.59"
"266",1991-01-04,"793.15"
"267",1991-01-07,"773.16"
"268",1991-01-08,"760.88"
"269",1991-01-09,"774.73"
"270",1991-01-10,"769.95"
"271",1991-01-11,"772.60"
"272",1991-01-14,"762.12"
"273",1991-01-15,"759.25"
"274",1991-01-16,"745.37"
"275",1991-01-17,"788.52"
"276",1991-01-18,"797.02"
"277",1991-01-21,"793.54"
"278",1991-01-22,"796.68"
"279",1991-01-23,"787.27"
"280",1991-01-24,"799.67"
"281",1991-01-25,"804.56"
"282",1991-01-28,"807.95"
"283",1991-01-29,"808.13"
"284",1991-01-30,"806.12"
"285",1991-01-31,"813.17"
"286",1991-02-01,"814.43"
"287",1991-02-04,"821.31"
"288",1991-02-05,"837.96"
"289",1991-02-06,"848.45"
"290",1991-02-07,"858.62"
"291",1991-02-08,"865.88"
"292",1991-02-11,"875.51"
"293",1991-02-12,"884.68"
"294",1991-02-13,"884.92"
"295",1991-02-14,"890.05"
"296",1991-02-15,"887.76"
"297",1991-02-18,"905.67"
"298",1991-02-19,"903.42"
"299",1991-02-20,"893.32"
"300",1991-02-21,"892.17"
"301",1991-02-22,"893.46"
"302",1991-02-25,"898.26"
"303",1991-02-26,"886.77"
"304",1991-02-27,"886.90"
"305",1991-02-28,"899.06"
"306",1991-03-01,"878.49"
"307",1991-03-04,"874.08"
"308",1991-03-05,"884.13"
"309",1991-03-06,"889.15"
"310",1991-03-07,"890.87"
"311",1991-03-08,"891.99"
"312",1991-03-11,"880.02"
"313",1991-03-12,"888.19"
"314",1991-03-13,"877.47"
"315",1991-03-14,"890.15"
"316",1991-03-15,"891.97"
"317",1991-03-18,"883.59"
"318",1991-03-19,"868.29"
"319",1991-03-20,"853.59"
"320",1991-03-21,"867.48"
"321",1991-03-22,"862.81"
"322",1991-03-25,"854.46"
"323",1991-03-26,"844.39"
"324",1991-03-27,"842.85"
"325",1991-03-28,"836.77"
"326",1991-03-29,"843.88"
"327",1991-04-01,"841.64"
"328",1991-04-02,"855.88"
"329",1991-04-03,"878.87"
"330",1991-04-04,"880.03"
"331",1991-04-05,"890.49"
"332",1991-04-08,"876.30"
"333",1991-04-09,"872.85"
"334",1991-04-10,"871.44"
"335",1991-04-11,"871.62"
"336",1991-04-12,"878.68"
"337",1991-04-15,"888.38"
"338",1991-04-16,"884.44"
"339",1991-04-17,"890.16"
"340",1991-04-18,"880.74"
"341",1991-04-19,"861.64"
"342",1991-04-22,"840.62"
"343",1991-04-23,"847.66"
"344",1991-04-24,"847.06"
"345",1991-04-25,"839.66"
"346",1991-04-26,"841.62"
"347",1991-04-29,"839.11"
"348",1991-04-30,"851.01"
"349",1991-05-01,"866.99"
"350",1991-05-02,"862.17"
"351",1991-05-03,"856.28"
"352",1991-05-06,"854.52"
"353",1991-05-07,"861.03"
"354",1991-05-08,"856.14"
"355",1991-05-09,"851.51"
"356",1991-05-10,"858.98"
"357",1991-05-13,"850.26"
"358",1991-05-14,"849.54"
"359",1991-05-15,"854.62"
"360",1991-05-16,"854.89"
"361",1991-05-17,"850.56"
"362",1991-05-20,"842.01"
"363",1991-05-21,"848.02"
"364",1991-05-22,"846.75"
"365",1991-05-23,"848.92"
"366",1991-05-24,"849.56"
"367",1991-05-27,"849.50"
"368",1991-05-28,"848.45"
"369",1991-05-29,"857.22"
"370",1991-05-30,"856.13"
"371",1991-05-31,"858.71"
"372",1991-06-03,"852.29"
"373",1991-06-04,"848.81"
"374",1991-06-05,"844.81"
"375",1991-06-06,"840.38"
"376",1991-06-07,"832.83"
"377",1991-06-10,"821.16"
"378",1991-06-11,"825.77"
"379",1991-06-12,"819.44"
"380",1991-06-13,"815.74"
"381",1991-06-14,"824.84"
"382",1991-06-17,"819.34"
"383",1991-06-18,"813.38"
"384",1991-06-19,"804.68"
"385",1991-06-20,"813.18"
"386",1991-06-21,"814.75"
"387",1991-06-24,"805.23"
"388",1991-06-25,"807.85"
"389",1991-06-26,"805.34"
"390",1991-06-27,"802.66"
"391",1991-06-28,"794.46"
"392",1991-07-01,"805.90"
"393",1991-07-02,"800.75"
"394",1991-07-03,"787.98"
"395",1991-07-04,"783.13"
"396",1991-07-05,"784.86"
"397",1991-07-08,"773.68"
"398",1991-07-09,"784.48"
"399",1991-07-10,"793.96"
"400",1991-07-11,"793.44"
"401",1991-07-12,"802.46"
"402",1991-07-15,"813.13"
"403",1991-07-16,"812.61"
"404",1991-07-17,"807.73"
"405",1991-07-18,"809.75"
"406",1991-07-19,"812.92"
"407",1991-07-22,"811.14"
"408",1991-07-23,"814.57"
"409",1991-07-24,"825.82"
"410",1991-07-25,"818.15"
"411",1991-07-26,"827.04"
"412",1991-07-29,"822.16"
"413",1991-07-30,"829.11"
"414",1991-07-31,"832.30"
"415",1991-08-01,"831.51"
"416",1991-08-02,"834.15"
"417",1991-08-05,"832.14"
"418",1991-08-06,"829.36"
"419",1991-08-07,"834.06"
"420",1991-08-08,"831.44"
"421",1991-08-09,"824.95"
"422",1991-08-12,"817.28"
"423",1991-08-13,"817.27"
"424",1991-08-14,"823.42"
"425",1991-08-15,"821.93"
"426",1991-08-16,"808.99"
"427",1991-08-19,"752.08"
"428",1991-08-20,"770.91"
"429",1991-08-21,"794.71"
"430",1991-08-22,"815.41"
"431",1991-08-23,"804.92"
"432",1991-08-26,"800.18"
"433",1991-08-27,"797.77"
"434",1991-08-28,"798.98"
"435",1991-08-29,"808.75"
"436",1991-08-30,"814.18"
"437",1991-09-02,"819.97"
"438",1991-09-03,"819.58"
"439",1991-09-04,"822.22"
"440",1991-09-05,"822.48"
"441",1991-09-06,"823.79"
"442",1991-09-09,"831.37"
"443",1991-09-10,"829.59"
"444",1991-09-11,"827.60"
"445",1991-09-12,"831.88"
"446",1991-09-13,"843.84"
"447",1991-09-16,"843.07"
"448",1991-09-17,"849.62"
"449",1991-09-18,"840.77"
"450",1991-09-19,"838.97"
"451",1991-09-20,"836.44"
"452",1991-09-23,"843.91"
"453",1991-09-24,"846.75"
"454",1991-09-25,"849.49"
"455",1991-09-26,"851.26"
"456",1991-09-27,"848.19"
"457",1991-09-30,"858.85"
"458",1991-10-01,"864.47"
"459",1991-10-02,"871.93"
"460",1991-10-03,"878.99"
"461",1991-10-04,"878.49"
"462",1991-10-07,"872.74"
"463",1991-10-08,"864.42"
"464",1991-10-09,"860.19"
"465",1991-10-10,"861.41"
"466",1991-10-11,"860.31"
"467",1991-10-14,"858.76"
"468",1991-10-15,"857.38"
"469",1991-10-16,"858.46"
"470",1991-10-17,"863.97"
"471",1991-10-18,"873.35"
"472",1991-10-21,"869.98"
"473",1991-10-22,"864.21"
"474",1991-10-23,"859.52"
"475",1991-10-24,"861.19"
"476",1991-10-25,"856.60"
"477",1991-10-28,"853.94"
"478",1991-10-29,"859.69"
"479",1991-10-30,"866.08"
"480",1991-10-31,"869.77"
"481",1991-11-01,"873.46"
"482",1991-11-04,"881.44"
"483",1991-11-05,"878.73"
"484",1991-11-06,"875.19"
"485",1991-11-07,"871.51"
"486",1991-11-08,"870.75"
"487",1991-11-11,"869.48"
"488",1991-11-12,"876.29"
"489",1991-11-13,"872.19"
"490",1991-11-14,"869.36"
"491",1991-11-15,"864.02"
"492",1991-11-18,"855.39"
"493",1991-11-19,"850.52"
"494",1991-11-20,"847.47"
"495",1991-11-21,"849.07"
"496",1991-11-22,"849.66"
"497",1991-11-25,"850.80"
"498",1991-11-26,"849.56"
"499",1991-11-27,"836.59"
"500",1991-11-28,"831.65"
"501",1991-11-29,"827.91"
"502",1991-12-02,"818.27"
"503",1991-12-03,"825.61"
"504",1991-12-04,"830.14"
"505",1991-12-05,"827.22"
"506",1991-12-06,"829.60"
"507",1991-12-09,"829.54"
"508",1991-12-10,"820.44"
"509",1991-12-11,"811.54"
"510",1991-12-12,"820.26"
"511",1991-12-13,"835.56"
"512",1991-12-16,"839.21"
"513",1991-12-17,"838.27"
"514",1991-12-18,"832.22"
"515",1991-12-19,"820.89"
"516",1991-12-20,"818.46"
"517",1991-12-23,"825.27"
"518",1991-12-24,"824.46"
"519",1991-12-25,"824.46"
"520",1991-12-26,"843.45"
"521",1991-12-27,"849.13"
"522",1991-12-30,"860.76"
"523",1991-12-31,"869.35"
"524",1992-01-01,"869.35"
"525",1992-01-02,"870.94"
"526",1992-01-03,"869.20"
"527",1992-01-06,"890.30"
"528",1992-01-07,"887.34"
"529",1992-01-08,"868.13"
"530",1992-01-09,"871.03"
"531",1992-01-10,"842.00"
"532",1992-01-13,"830.85"
"533",1992-01-14,"840.74"
"534",1992-01-15,"828.59"
"535",1992-01-16,"829.44"
"536",1992-01-17,"829.11"
"537",1992-01-20,"841.37"
"538",1992-01-21,"842.07"
"539",1992-01-22,"851.88"
"540",1992-01-23,"850.14"
"541",1992-01-24,"835.58"
"542",1992-01-27,"834.26"
"543",1992-01-28,"836.78"
"544",1992-01-29,"841.67"
"545",1992-01-30,"841.30"
"546",1992-01-31,"849.52"
"547",1992-02-03,"848.03"
"548",1992-02-04,"849.52"
"549",1992-02-05,"852.19"
"550",1992-02-06,"853.89"
"551",1992-02-07,"856.84"
"552",1992-02-10,"848.56"
"553",1992-02-11,"842.57"
"554",1992-02-12,"832.54"
"555",1992-02-13,"827.40"
"556",1992-02-14,"815.33"
"557",1992-02-17,"822.64"
"558",1992-02-18,"811.28"
"559",1992-02-19,"803.55"
"560",1992-02-20,"803.48"
"561",1992-02-21,"812.68"
"562",1992-02-24,"809.16"
"563",1992-02-25,"806.72"
"564",1992-02-26,"811.61"
"565",1992-02-27,"817.90"
"566",1992-02-28,"817.86"
"567",1992-03-02,"820.02"
"568",1992-03-03,"808.04"
"569",1992-03-04,"803.36"
"570",1992-03-05,"792.25"
"571",1992-03-06,"790.92"
"572",1992-03-09,"787.80"
"573",1992-03-10,"787.89"
"574",1992-03-11,"776.58"
"575",1992-03-12,"768.88"
"576",1992-03-13,"769.02"
"577",1992-03-16,"761.70"
"578",1992-03-17,"766.35"
"579",1992-03-18,"761.98"
"580",1992-03-19,"766.94"
"581",1992-03-20,"761.78"
"582",1992-03-23,"764.05"
"583",1992-03-24,"763.48"
"584",1992-03-25,"767.61"
"585",1992-03-26,"768.45"
"586",1992-03-27,"762.53"
"587",1992-03-30,"763.53"
