"","Date","RTY.Index"
"3",1990-01-02,"169.94"
"4",1990-01-03,"170.78"
"5",1990-01-04,"170.17"
"6",1990-01-05,"169.71"
"7",1990-01-08,"169.67"
"8",1990-01-09,"169.46"
"9",1990-01-10,"168.14"
"10",1990-01-11,"168.20"
"11",1990-01-12,"164.51"
"12",1990-01-15,"163.07"
"13",1990-01-16,"163.47"
"14",1990-01-17,"163.58"
"15",1990-01-18,"162.83"
"16",1990-01-19,"163.65"
"17",1990-01-22,"161.19"
"18",1990-01-23,"160.49"
"19",1990-01-24,"158.25"
"20",1990-01-25,"157.98"
"21",1990-01-26,"156.65"
"22",1990-01-29,"154.96"
"23",1990-01-30,"152.65"
"24",1990-01-31,"153.33"
"25",1990-02-01,"154.39"
"26",1990-02-02,"156.01"
"27",1990-02-05,"156.87"
"28",1990-02-06,"156.92"
"29",1990-02-07,"158.25"
"30",1990-02-08,"158.63"
"31",1990-02-09,"159.09"
"32",1990-02-12,"158.46"
"33",1990-02-13,"158.16"
"34",1990-02-14,"158.27"
"35",1990-02-15,"159.24"
"36",1990-02-16,"159.30"
"37",1990-02-19,"159.30"
"38",1990-02-20,"157.90"
"39",1990-02-21,"157.07"
"40",1990-02-22,"157.81"
"41",1990-02-23,"156.59"
"42",1990-02-26,"156.33"
"43",1990-02-27,"156.81"
"44",1990-02-28,"157.80"
"45",1990-03-01,"158.09"
"46",1990-03-02,"159.22"
"47",1990-03-05,"159.24"
"48",1990-03-06,"160.37"
"49",1990-03-07,"160.85"
"50",1990-03-08,"162.00"
"51",1990-03-09,"162.03"
"52",1990-03-12,"162.12"
"53",1990-03-13,"162.01"
"54",1990-03-14,"162.73"
"55",1990-03-15,"163.21"
"56",1990-03-16,"164.15"
"57",1990-03-19,"164.37"
"58",1990-03-20,"164.12"
"59",1990-03-21,"164.04"
"60",1990-03-22,"162.57"
"61",1990-03-23,"163.51"
"62",1990-03-26,"163.69"
"63",1990-03-27,"163.96"
"64",1990-03-28,"163.69"
"65",1990-03-29,"163.38"
"66",1990-03-30,"163.69"
"67",1990-04-02,"162.33"
"68",1990-04-03,"163.40"
"69",1990-04-04,"162.89"
"70",1990-04-05,"162.84"
"71",1990-04-06,"162.41"
"72",1990-04-09,"161.53"
"73",1990-04-10,"162.02"
"74",1990-04-11,"162.22"
"75",1990-04-12,"162.64"
"76",1990-04-13,"162.58"
"77",1990-04-16,"162.57"
"78",1990-04-17,"162.24"
"79",1990-04-18,"161.39"
"80",1990-04-19,"160.83"
"81",1990-04-20,"160.11"
"82",1990-04-23,"158.58"
"83",1990-04-24,"158.44"
"84",1990-04-25,"158.68"
"85",1990-04-26,"158.81"
"86",1990-04-27,"157.86"
"87",1990-04-30,"158.16"
"88",1990-05-01,"158.49"
"89",1990-05-02,"159.13"
"90",1990-05-03,"159.81"
"91",1990-05-04,"160.48"
"92",1990-05-07,"160.86"
"93",1990-05-08,"160.96"
"94",1990-05-09,"161.08"
"95",1990-05-10,"161.67"
"96",1990-05-11,"163.19"
"97",1990-05-14,"163.85"
"98",1990-05-15,"163.69"
"99",1990-05-16,"163.86"
"100",1990-05-17,"164.92"
"101",1990-05-18,"165.44"
"102",1990-05-21,"166.77"
"103",1990-05-22,"167.35"
"104",1990-05-23,"167.90"
"105",1990-05-24,"168.17"
"106",1990-05-25,"167.37"
"107",1990-05-28,"167.30"
"108",1990-05-29,"168.29"
"109",1990-05-30,"168.73"
"110",1990-05-31,"169.06"
"111",1990-06-01,"169.94"
"112",1990-06-04,"170.86"
"113",1990-06-05,"170.40"
"114",1990-06-06,"170.18"
"115",1990-06-07,"170.04"
"116",1990-06-08,"169.16"
"117",1990-06-11,"169.30"
"118",1990-06-12,"170.27"
"119",1990-06-13,"171.13"
"120",1990-06-14,"170.82"
"121",1990-06-15,"171.09"
"122",1990-06-18,"168.91"
"123",1990-06-19,"168.60"
"124",1990-06-20,"168.40"
"125",1990-06-21,"168.56"
"126",1990-06-22,"168.14"
"127",1990-06-25,"167.16"
"128",1990-06-26,"166.99"
"129",1990-06-27,"167.31"
"130",1990-06-28,"168.46"
"131",1990-06-29,"169.17"
"132",1990-07-02,"169.03"
"133",1990-07-03,"168.95"
"134",1990-07-04,"168.95"
"135",1990-07-05,"167.94"
"136",1990-07-06,"168.15"
"137",1990-07-09,"168.07"
"138",1990-07-10,"167.67"
"139",1990-07-11,"168.59"
"140",1990-07-12,"169.40"
"141",1990-07-13,"169.98"
"142",1990-07-16,"169.93"
"143",1990-07-17,"168.75"
"144",1990-07-18,"167.71"
"145",1990-07-19,"166.88"
"146",1990-07-20,"166.60"
"147",1990-07-23,"162.83"
"148",1990-07-24,"163.12"
"149",1990-07-25,"163.57"
"150",1990-07-26,"163.99"
"151",1990-07-27,"163.08"
"152",1990-07-30,"161.88"
"153",1990-07-31,"161.51"
"154",1990-08-01,"160.79"
"155",1990-08-02,"158.66"
"156",1990-08-03,"154.42"
"157",1990-08-06,"149.20"
"158",1990-08-07,"149.35"
"159",1990-08-08,"151.22"
"160",1990-08-09,"152.61"
"161",1990-08-10,"150.95"
"162",1990-08-13,"150.49"
"163",1990-08-14,"151.22"
"164",1990-08-15,"151.30"
"165",1990-08-16,"148.46"
"166",1990-08-17,"145.68"
"167",1990-08-20,"144.18"
"168",1990-08-21,"140.90"
"169",1990-08-22,"139.09"
"170",1990-08-23,"133.09"
"171",1990-08-24,"134.36"
"172",1990-08-27,"138.84"
"173",1990-08-28,"139.62"
"174",1990-08-29,"140.07"
"175",1990-08-30,"139.30"
"176",1990-08-31,"139.60"
"177",1990-09-03,"139.51"
"178",1990-09-04,"139.18"
"179",1990-09-05,"140.09"
"180",1990-09-06,"139.48"
"181",1990-09-07,"140.19"
"182",1990-09-10,"140.34"
"183",1990-09-11,"139.90"
"184",1990-09-12,"139.94"
"185",1990-09-13,"138.81"
"186",1990-09-14,"138.03"
"187",1990-09-17,"137.52"
"188",1990-09-18,"136.95"
"189",1990-09-19,"136.82"
"190",1990-09-20,"134.78"
"191",1990-09-21,"133.88"
"192",1990-09-24,"130.48"
"193",1990-09-25,"130.60"
"194",1990-09-26,"128.77"
"195",1990-09-27,"126.40"
