"","Date","SPX.Index"
"3",1990-01-03,"358.76"
"4",1990-01-04,"355.67"
"5",1990-01-05,"352.20"
"6",1990-01-08,"353.79"
"7",1990-01-09,"349.62"
"8",1990-01-10,"347.31"
"9",1990-01-11,"348.53"
"10",1990-01-12,"339.93"
"11",1990-01-15,"337.00"
"12",1990-01-16,"340.75"
"13",1990-01-17,"337.40"
"14",1990-01-18,"338.19"
"15",1990-01-19,"339.15"
"16",1990-01-22,"330.38"
"17",1990-01-23,"331.61"
"18",1990-01-24,"330.26"
"19",1990-01-25,"326.08"
"20",1990-01-26,"325.80"
"21",1990-01-29,"325.20"
"22",1990-01-30,"322.98"
"23",1990-01-31,"329.08"
"24",1990-02-01,"328.79"
"25",1990-02-02,"330.92"
"26",1990-02-05,"331.85"
"27",1990-02-06,"329.66"
"28",1990-02-07,"333.75"
"29",1990-02-08,"332.96"
"30",1990-02-09,"333.62"
"31",1990-02-12,"330.08"
"32",1990-02-13,"331.02"
"33",1990-02-14,"332.01"
"34",1990-02-15,"334.89"
"35",1990-02-16,"332.72"
"36",1990-02-20,"327.99"
"37",1990-02-21,"327.67"
"38",1990-02-22,"325.70"
"39",1990-02-23,"324.15"
"40",1990-02-26,"328.67"
"41",1990-02-27,"330.26"
"42",1990-02-28,"331.89"
"43",1990-03-01,"332.74"
"44",1990-03-02,"335.54"
"45",1990-03-05,"333.74"
"46",1990-03-06,"337.93"
"47",1990-03-07,"336.95"
"48",1990-03-08,"340.27"
"49",1990-03-09,"337.93"
"50",1990-03-12,"338.67"
"51",1990-03-13,"336.00"
"52",1990-03-14,"336.87"
"53",1990-03-15,"338.07"
"54",1990-03-16,"341.91"
"55",1990-03-19,"343.53"
"56",1990-03-20,"341.57"
"57",1990-03-21,"339.74"
"58",1990-03-22,"335.69"
"59",1990-03-23,"337.22"
"60",1990-03-26,"337.63"
"61",1990-03-27,"341.50"
"62",1990-03-28,"342.00"
"63",1990-03-29,"340.79"
"64",1990-03-30,"339.94"
"65",1990-04-02,"338.70"
"66",1990-04-03,"343.64"
"67",1990-04-04,"341.09"
"68",1990-04-05,"340.73"
"69",1990-04-06,"340.08"
"70",1990-04-09,"341.37"
"71",1990-04-10,"342.07"
"72",1990-04-11,"341.92"
"73",1990-04-12,"344.34"
"74",1990-04-16,"344.74"
"75",1990-04-17,"344.68"
"76",1990-04-18,"340.72"
"77",1990-04-19,"338.09"
"78",1990-04-20,"335.12"
"79",1990-04-23,"331.05"
"80",1990-04-24,"330.36"
"81",1990-04-25,"332.03"
"82",1990-04-26,"332.92"
"83",1990-04-27,"329.11"
"84",1990-04-30,"330.80"
"85",1990-05-01,"332.25"
"86",1990-05-02,"334.48"
"87",1990-05-03,"335.57"
"88",1990-05-04,"338.39"
"89",1990-05-07,"340.53"
"90",1990-05-08,"342.01"
"91",1990-05-09,"342.86"
"92",1990-05-10,"343.82"
"93",1990-05-11,"352.00"
"94",1990-05-14,"354.75"
"95",1990-05-15,"354.28"
"96",1990-05-16,"354.00"
"97",1990-05-17,"354.47"
"98",1990-05-18,"354.64"
"99",1990-05-21,"358.00"
"100",1990-05-22,"358.43"
"101",1990-05-23,"359.29"
"102",1990-05-24,"358.41"
"103",1990-05-25,"354.58"
"104",1990-05-29,"360.65"
"105",1990-05-30,"360.86"
"106",1990-05-31,"361.23"
"107",1990-06-01,"363.16"
"108",1990-06-04,"367.40"
"109",1990-06-05,"366.64"
"110",1990-06-06,"364.96"
"111",1990-06-07,"363.15"
"112",1990-06-08,"358.71"
"113",1990-06-11,"361.63"
"114",1990-06-12,"366.25"
"115",1990-06-13,"364.90"
"116",1990-06-14,"362.90"
"117",1990-06-15,"362.91"
"118",1990-06-18,"356.88"
"119",1990-06-19,"358.47"
"120",1990-06-20,"359.10"
"121",1990-06-21,"360.47"
"122",1990-06-22,"355.43"
"123",1990-06-25,"352.31"
"124",1990-06-26,"352.06"
"125",1990-06-27,"355.14"
"126",1990-06-28,"357.63"
"127",1990-06-29,"358.02"
"128",1990-07-02,"359.54"
"129",1990-07-03,"360.16"
"130",1990-07-05,"355.68"
"131",1990-07-06,"358.42"
"132",1990-07-09,"359.52"
"133",1990-07-10,"356.49"
"134",1990-07-11,"361.23"
"135",1990-07-12,"365.44"
"136",1990-07-13,"367.31"
"137",1990-07-16,"368.95"
"138",1990-07-17,"367.52"
"139",1990-07-18,"364.22"
"140",1990-07-19,"365.32"
"141",1990-07-20,"361.61"
"142",1990-07-23,"355.31"
"143",1990-07-24,"355.79"
"144",1990-07-25,"357.09"
"145",1990-07-26,"355.91"
"146",1990-07-27,"353.44"
"147",1990-07-30,"355.55"
"148",1990-07-31,"356.15"
"149",1990-08-01,"355.52"
"150",1990-08-02,"351.48"
"151",1990-08-03,"344.86"
"152",1990-08-06,"334.43"
"153",1990-08-07,"334.83"
"154",1990-08-08,"338.35"
"155",1990-08-09,"339.94"
"156",1990-08-10,"335.52"
"157",1990-08-13,"338.84"
"158",1990-08-14,"339.39"
"159",1990-08-15,"340.06"
"160",1990-08-16,"332.39"
"161",1990-08-17,"327.83"
"162",1990-08-20,"328.51"
"163",1990-08-21,"321.86"
"164",1990-08-22,"316.55"
"165",1990-08-23,"307.06"
"166",1990-08-24,"311.51"
"167",1990-08-27,"321.44"
"168",1990-08-28,"321.34"
"169",1990-08-29,"324.19"
"170",1990-08-30,"318.71"
"171",1990-08-31,"322.56"
"172",1990-09-04,"323.09"
"173",1990-09-05,"324.39"
"174",1990-09-06,"320.46"
"175",1990-09-07,"323.40"
"176",1990-09-10,"321.63"
"177",1990-09-11,"321.04"
"178",1990-09-12,"322.54"
"179",1990-09-13,"318.65"
"180",1990-09-14,"316.83"
"181",1990-09-17,"317.77"
"182",1990-09-18,"318.60"
"183",1990-09-19,"316.60"
"184",1990-09-20,"311.48"
"185",1990-09-21,"311.32"
"186",1990-09-24,"304.59"
"187",1990-09-25,"308.26"
"188",1990-09-26,"305.06"
"189",1990-09-27,"300.97"
"190",1990-09-28,"306.05"
