"","Date","USDEUR.Curncy"
"3",1990-01-03,"0.83"
"4",1990-01-04,"0.81"
"5",1990-01-05,"0.81"
"6",1990-01-08,"0.80"
"7",1990-01-09,"0.81"
"8",1990-01-10,"0.81"
"9",1990-01-11,"0.81"
"10",1990-01-12,"0.81"
"11",1990-01-15,"0.81"
"12",1990-01-16,"0.81"
"13",1990-01-17,"0.81"
"14",1990-01-18,"0.82"
"15",1990-01-19,"0.82"
"16",1990-01-22,"0.83"
"17",1990-01-23,"0.82"
"18",1990-01-24,"0.81"
"19",1990-01-25,"0.81"
"20",1990-01-26,"0.81"
"21",1990-01-29,"0.80"
"22",1990-01-30,"0.80"
"23",1990-01-31,"0.81"
"24",1990-02-01,"0.81"
"25",1990-02-02,"0.81"
"26",1990-02-05,"0.80"
"27",1990-02-06,"0.80"
"28",1990-02-07,"0.80"
"29",1990-02-08,"0.80"
"30",1990-02-09,"0.80"
"31",1990-02-12,"0.80"
"32",1990-02-13,"0.81"
"33",1990-02-14,"0.80"
"34",1990-02-15,"0.81"
"35",1990-02-16,"0.81"
"36",1990-02-19,"0.80"
"37",1990-02-20,"0.80"
"38",1990-02-21,"0.80"
"39",1990-02-22,"0.80"
"40",1990-02-23,"0.80"
"41",1990-02-26,"0.81"
"42",1990-02-27,"0.81"
"43",1990-02-28,"0.81"
"44",1990-03-01,"0.82"
"45",1990-03-02,"0.82"
"46",1990-03-05,"0.81"
"47",1990-03-06,"0.81"
"48",1990-03-07,"0.82"
"49",1990-03-08,"0.81"
"50",1990-03-09,"0.81"
"51",1990-03-12,"0.82"
"52",1990-03-13,"0.82"
"53",1990-03-14,"0.82"
"54",1990-03-15,"0.82"
"55",1990-03-16,"0.81"
"56",1990-03-19,"0.80"
"57",1990-03-20,"0.81"
"58",1990-03-21,"0.82"
"59",1990-03-22,"0.82"
"60",1990-03-23,"0.82"
"61",1990-03-26,"0.82"
"62",1990-03-27,"0.82"
"63",1990-03-28,"0.82"
"64",1990-03-29,"0.81"
"65",1990-03-30,"0.81"
"66",1990-04-02,"0.81"
"67",1990-04-03,"0.81"
"68",1990-04-04,"0.81"
"69",1990-04-05,"0.81"
"70",1990-04-06,"0.81"
"71",1990-04-09,"0.81"
"72",1990-04-10,"0.81"
"73",1990-04-11,"0.80"
"74",1990-04-12,"0.80"
"75",1990-04-17,"0.80"
"76",1990-04-18,"0.80"
"77",1990-04-19,"0.80"
"78",1990-04-20,"0.80"
"79",1990-04-23,"0.81"
"80",1990-04-24,"0.81"
"81",1990-04-25,"0.80"
"82",1990-04-26,"0.80"
"83",1990-04-27,"0.80"
"84",1990-04-30,"0.80"
"85",1990-05-01,"0.80"
"86",1990-05-02,"0.80"
"87",1990-05-03,"0.80"
"88",1990-05-04,"0.80"
"89",1990-05-08,"0.79"
"90",1990-05-09,"0.78"
"91",1990-05-10,"0.78"
"92",1990-05-11,"0.78"
"93",1990-05-14,"0.78"
"94",1990-05-15,"0.79"
"95",1990-05-16,"0.78"
"96",1990-05-17,"0.79"
"97",1990-05-18,"0.79"
"98",1990-05-21,"0.79"
"99",1990-05-22,"0.80"
"100",1990-05-23,"0.80"
"101",1990-05-24,"0.80"
"102",1990-05-25,"0.80"
"103",1990-05-29,"0.80"
"104",1990-05-30,"0.80"
"105",1990-05-31,"0.81"
"106",1990-06-01,"0.80"
"107",1990-06-04,"0.81"
"108",1990-06-05,"0.81"
"109",1990-06-06,"0.80"
"110",1990-06-07,"0.81"
"111",1990-06-08,"0.81"
"112",1990-06-11,"0.81"
"113",1990-06-12,"0.80"
"114",1990-06-13,"0.80"
"115",1990-06-14,"0.80"
"116",1990-06-15,"0.81"
"117",1990-06-18,"0.80"
"118",1990-06-19,"0.80"
"119",1990-06-20,"0.80"
"120",1990-06-21,"0.80"
"121",1990-06-22,"0.80"
"122",1990-06-25,"0.80"
"123",1990-06-26,"0.80"
"124",1990-06-27,"0.79"
"125",1990-06-28,"0.79"
"126",1990-06-29,"0.79"
"127",1990-07-02,"0.79"
"128",1990-07-03,"0.79"
"129",1990-07-04,"0.78"
"130",1990-07-05,"0.78"
"131",1990-07-06,"0.78"
"132",1990-07-09,"0.78"
"133",1990-07-10,"0.78"
"134",1990-07-11,"0.78"
"135",1990-07-12,"0.79"
"136",1990-07-13,"0.78"
"137",1990-07-16,"0.79"
"138",1990-07-17,"0.78"
"139",1990-07-18,"0.78"
"140",1990-07-19,"0.78"
"141",1990-07-20,"0.78"
"142",1990-07-23,"0.77"
"143",1990-07-24,"0.77"
"144",1990-07-25,"0.77"
"145",1990-07-26,"0.77"
"146",1990-07-27,"0.77"
"147",1990-07-30,"0.76"
"148",1990-07-31,"0.76"
"149",1990-08-01,"0.76"
"150",1990-08-02,"0.76"
"151",1990-08-03,"0.76"
"152",1990-08-06,"0.75"
"153",1990-08-07,"0.75"
"154",1990-08-08,"0.76"
"155",1990-08-09,"0.76"
"156",1990-08-10,"0.76"
"157",1990-08-13,"0.75"
"158",1990-08-14,"0.75"
"159",1990-08-15,"0.74"
"160",1990-08-16,"0.74"
"161",1990-08-17,"0.74"
"162",1990-08-20,"0.74"
"163",1990-08-21,"0.74"
"164",1990-08-22,"0.74"
"165",1990-08-23,"0.74"
"166",1990-08-24,"0.74"
"167",1990-08-28,"0.74"
"168",1990-08-29,"0.74"
"169",1990-08-30,"0.75"
"170",1990-08-31,"0.75"
"171",1990-09-03,"0.75"
"172",1990-09-04,"0.75"
"173",1990-09-05,"0.75"
"174",1990-09-06,"0.74"
"175",1990-09-07,"0.75"
"176",1990-09-10,"0.75"
"177",1990-09-11,"0.76"
"178",1990-09-12,"0.76"
"179",1990-09-13,"0.76"
"180",1990-09-14,"0.75"
"181",1990-09-17,"0.74"
"182",1990-09-18,"0.74"
"183",1990-09-19,"0.75"
"184",1990-09-20,"0.75"
"185",1990-09-21,"0.75"
"186",1990-09-24,"0.74"
"187",1990-09-25,"0.75"
"188",1990-09-26,"0.75"
"189",1990-09-27,"0.75"
"190",1990-09-28,"0.75"
"191",1990-10-01,"0.74"
"192",1990-10-02,"0.74"
"193",1990-10-03,"0.74"
"194",1990-10-04,"0.73"
"195",1990-10-05,"0.73"
"196",1990-10-08,"0.73"
"197",1990-10-09,"0.73"
"198",1990-10-10,"0.73"
"199",1990-10-11,"0.73"
"200",1990-10-12,"0.73"
"201",1990-10-15,"0.73"
"202",1990-10-16,"0.72"
"203",1990-10-17,"0.72"
"204",1990-10-18,"0.72"
"205",1990-10-19,"0.72"
"206",1990-10-22,"0.72"
"207",1990-10-23,"0.72"
"208",1990-10-24,"0.72"
"209",1990-10-25,"0.72"
"210",1990-10-26,"0.72"
"211",1990-10-29,"0.72"
"212",1990-10-30,"0.73"
"213",1990-10-31,"0.72"
"214",1990-11-01,"0.72"
"215",1990-11-02,"0.72"
"216",1990-11-05,"0.71"
"217",1990-11-06,"0.71"
"218",1990-11-07,"0.71"
"219",1990-11-08,"0.71"
"220",1990-11-09,"0.71"
"221",1990-11-12,"0.71"
"222",1990-11-13,"0.71"
"223",1990-11-14,"0.71"
"224",1990-11-15,"0.71"
"225",1990-11-16,"0.70"
"226",1990-11-19,"0.70"
"227",1990-11-20,"0.71"
"228",1990-11-21,"0.71"
"229",1990-11-22,"0.71"
"230",1990-11-23,"0.71"
"231",1990-11-26,"0.71"
"232",1990-11-27,"0.71"
"233",1990-11-28,"0.71"
"234",1990-11-29,"0.71"
"235",1990-11-30,"0.72"
"236",1990-12-03,"0.72"
"237",1990-12-04,"0.72"
"238",1990-12-05,"0.72"
"239",1990-12-06,"0.72"
"240",1990-12-07,"0.71"
"241",1990-12-10,"0.71"
"242",1990-12-11,"0.71"
"243",1990-12-12,"0.71"
"244",1990-12-13,"0.71"
"245",1990-12-14,"0.71"
"246",1990-12-17,"0.71"
"247",1990-12-18,"0.71"
"248",1990-12-19,"0.71"
"249",1990-12-20,"0.72"
"250",1990-12-21,"0.73"
"251",1990-12-24,"0.74"
"252",1990-12-27,"0.73"
"253",1990-12-28,"0.72"
"254",1990-12-31,"0.72"
"255",1991-01-02,"0.72"
"256",1991-01-03,"0.72"
"257",1991-01-04,"0.72"
"258",1991-01-07,"0.73"
"259",1991-01-08,"0.73"
"260",1991-01-09,"0.73"
"261",1991-01-10,"0.73"
"262",1991-01-11,"0.73"
"263",1991-01-14,"0.74"
"264",1991-01-15,"0.74"
"265",1991-01-16,"0.74"
"266",1991-01-17,"0.73"
"267",1991-01-18,"0.72"
"268",1991-01-21,"0.72"
"269",1991-01-22,"0.72"
"270",1991-01-23,"0.72"
"271",1991-01-24,"0.71"
"272",1991-01-25,"0.71"
"273",1991-01-28,"0.71"
"274",1991-01-29,"0.71"
"275",1991-01-30,"0.72"
"276",1991-01-31,"0.71"
"277",1991-02-01,"0.70"
"278",1991-02-04,"0.70"
"279",1991-02-05,"0.70"
"280",1991-02-06,"0.70"
"281",1991-02-07,"0.70"
"282",1991-02-08,"0.70"
"283",1991-02-11,"0.70"
"284",1991-02-12,"0.70"
"285",1991-02-13,"0.70"
"286",1991-02-14,"0.70"
"287",1991-02-15,"0.71"
"288",1991-02-18,"0.71"
"289",1991-02-19,"0.71"
"290",1991-02-20,"0.72"
"291",1991-02-21,"0.71"
"292",1991-02-22,"0.72"
"293",1991-02-25,"0.73"
"294",1991-02-26,"0.73"
"295",1991-02-27,"0.73"
"296",1991-02-28,"0.73"
"297",1991-03-01,"0.73"
"298",1991-03-04,"0.73"
"299",1991-03-05,"0.73"
"300",1991-03-06,"0.74"
"301",1991-03-07,"0.74"
"302",1991-03-08,"0.75"
"303",1991-03-11,"0.75"
"304",1991-03-12,"0.75"
"305",1991-03-13,"0.76"
"306",1991-03-14,"0.76"
"307",1991-03-15,"0.76"
"308",1991-03-18,"0.78"
"309",1991-03-19,"0.79"
"310",1991-03-20,"0.79"
"311",1991-03-21,"0.78"
"312",1991-03-22,"0.78"
"313",1991-03-25,"0.80"
"314",1991-03-26,"0.81"
"315",1991-03-27,"0.82"
"316",1991-03-28,"0.82"
"317",1991-04-02,"0.81"
"318",1991-04-03,"0.80"
"319",1991-04-04,"0.80"
"320",1991-04-05,"0.80"
"321",1991-04-08,"0.81"
"322",1991-04-09,"0.80"
"323",1991-04-10,"0.80"
"324",1991-04-11,"0.80"
"325",1991-04-12,"0.80"
"326",1991-04-15,"0.79"
"327",1991-04-16,"0.79"
"328",1991-04-17,"0.79"
"329",1991-04-18,"0.80"
"330",1991-04-19,"0.83"
"331",1991-04-22,"0.84"
"332",1991-04-23,"0.83"
"333",1991-04-24,"0.83"
"334",1991-04-25,"0.83"
"335",1991-04-26,"0.84"
"336",1991-04-29,"0.85"
"337",1991-04-30,"0.82"
"338",1991-05-01,"0.81"
"339",1991-05-02,"0.82"
"340",1991-05-03,"0.83"
"341",1991-05-07,"0.82"
"342",1991-05-08,"0.82"
"343",1991-05-09,"0.83"
"344",1991-05-10,"0.83"
"345",1991-05-13,"0.82"
"346",1991-05-14,"0.81"
"347",1991-05-15,"0.81"
"348",1991-05-16,"0.81"
"349",1991-05-17,"0.83"
"350",1991-05-20,"0.83"
"351",1991-05-21,"0.82"
"352",1991-05-22,"0.82"
"353",1991-05-23,"0.82"
"354",1991-05-24,"0.82"
"355",1991-05-28,"0.81"
"356",1991-05-29,"0.81"
"357",1991-05-30,"0.82"
"358",1991-05-31,"0.83"
"359",1991-06-03,"0.84"
"360",1991-06-04,"0.83"
"361",1991-06-05,"0.84"
"362",1991-06-06,"0.84"
"363",1991-06-07,"0.84"
"364",1991-06-10,"0.85"
"365",1991-06-11,"0.85"
"366",1991-06-12,"0.86"
"367",1991-06-13,"0.86"
"368",1991-06-14,"0.86"
"369",1991-06-17,"0.86"
"370",1991-06-18,"0.87"
"371",1991-06-19,"0.86"
"372",1991-06-20,"0.86"
"373",1991-06-21,"0.86"
"374",1991-06-24,"0.85"
"375",1991-06-25,"0.86"
"376",1991-06-26,"0.85"
"377",1991-06-27,"0.86"
"378",1991-06-28,"0.87"
"379",1991-07-01,"0.87"
"380",1991-07-02,"0.88"
"381",1991-07-03,"0.87"
"382",1991-07-04,"0.88"
"383",1991-07-05,"0.87"
"384",1991-07-08,"0.87"
"385",1991-07-09,"0.87"
"386",1991-07-10,"0.87"
"387",1991-07-11,"0.88"
"388",1991-07-12,"0.86"
"389",1991-07-15,"0.86"
"390",1991-07-16,"0.86"
"391",1991-07-17,"0.85"
"392",1991-07-18,"0.85"
"393",1991-07-19,"0.84"
"394",1991-07-22,"0.84"
"395",1991-07-23,"0.84"
"396",1991-07-24,"0.83"
"397",1991-07-25,"0.84"
"398",1991-07-26,"0.83"
"399",1991-07-29,"0.84"
"400",1991-07-30,"0.84"
