"","Date","USDJPY.Curncy"
"3",1990-01-02,"146.25"
"4",1990-01-03,"145.70"
"5",1990-01-04,"143.37"
"6",1990-01-05,"143.82"
"7",1990-01-08,"144.10"
"8",1990-01-09,"145.20"
"9",1990-01-10,"145.25"
"10",1990-01-11,"145.40"
"11",1990-01-12,"145.40"
"12",1990-01-15,"145.46"
"13",1990-01-16,"145.48"
"14",1990-01-17,"145.49"
"15",1990-01-18,"146.12"
"16",1990-01-19,"145.65"
"17",1990-01-22,"146.43"
"18",1990-01-23,"146.09"
"19",1990-01-24,"145.32"
"20",1990-01-25,"144.42"
"21",1990-01-26,"143.35"
"22",1990-01-29,"143.13"
"23",1990-01-30,"144.10"
"24",1990-01-31,"144.55"
"25",1990-02-01,"144.90"
"26",1990-02-02,"145.38"
"27",1990-02-05,"145.39"
"28",1990-02-06,"145.13"
"29",1990-02-07,"145.47"
"30",1990-02-08,"145.40"
"31",1990-02-09,"145.20"
"32",1990-02-12,"144.20"
"33",1990-02-13,"144.40"
"34",1990-02-14,"144.27"
"35",1990-02-15,"144.40"
"36",1990-02-16,"144.15"
"37",1990-02-19,"144.65"
"38",1990-02-20,"145.45"
"39",1990-02-21,"145.32"
"40",1990-02-22,"145.89"
"41",1990-02-23,"146.92"
"42",1990-02-26,"148.85"
"43",1990-02-27,"148.63"
"44",1990-02-28,"148.82"
"45",1990-03-01,"149.67"
"46",1990-03-02,"150.28"
"47",1990-03-05,"149.78"
"48",1990-03-06,"149.80"
"49",1990-03-07,"151.22"
"50",1990-03-08,"150.83"
"51",1990-03-09,"151.34"
"52",1990-03-12,"152.38"
"53",1990-03-13,"152.55"
"54",1990-03-14,"152.24"
"55",1990-03-15,"152.55"
"56",1990-03-16,"152.38"
"57",1990-03-19,"153.50"
"58",1990-03-20,"153.88"
"59",1990-03-21,"154.16"
"60",1990-03-22,"155.10"
"61",1990-03-23,"153.90"
"62",1990-03-26,"156.50"
"63",1990-03-27,"157.40"
"64",1990-03-28,"158.75"
"65",1990-03-29,"156.75"
"66",1990-03-30,"157.82"
"67",1990-04-02,"158.90"
"68",1990-04-03,"159.13"
"69",1990-04-04,"158.60"
"70",1990-04-05,"157.68"
"71",1990-04-06,"157.65"
"72",1990-04-09,"157.50"
"73",1990-04-10,"158.58"
"74",1990-04-11,"158.28"
"75",1990-04-12,"158.19"
"76",1990-04-13,"158.75"
"77",1990-04-16,"159.37"
"78",1990-04-17,"159.90"
"79",1990-04-18,"159.10"
"80",1990-04-19,"156.50"
"81",1990-04-20,"157.85"
"82",1990-04-23,"157.70"
"83",1990-04-24,"158.72"
"84",1990-04-25,"158.73"
"85",1990-04-26,"158.75"
"86",1990-04-27,"158.90"
"87",1990-04-30,"158.85"
"88",1990-05-01,"158.85"
"89",1990-05-02,"158.30"
"90",1990-05-03,"158.15"
"91",1990-05-04,"158.35"
"92",1990-05-07,"158.00"
"93",1990-05-08,"157.90"
"94",1990-05-09,"156.45"
"95",1990-05-10,"157.00"
"96",1990-05-11,"152.73"
"97",1990-05-14,"152.77"
"98",1990-05-15,"151.40"
"99",1990-05-16,"151.43"
"100",1990-05-17,"152.35"
"101",1990-05-18,"152.85"
"102",1990-05-21,"153.53"
"103",1990-05-22,"151.60"
"104",1990-05-23,"151.23"
"105",1990-05-24,"151.55"
"106",1990-05-25,"149.69"
"107",1990-05-28,"149.50"
"108",1990-05-29,"150.88"
"109",1990-05-30,"151.32"
"110",1990-05-31,"152.64"
"111",1990-06-01,"151.39"
"112",1990-06-04,"151.60"
"113",1990-06-05,"152.65"
"114",1990-06-06,"152.55"
"115",1990-06-07,"152.53"
"116",1990-06-08,"153.53"
"117",1990-06-11,"154.52"
"118",1990-06-12,"154.44"
"119",1990-06-13,"154.79"
"120",1990-06-14,"154.07"
"121",1990-06-15,"154.20"
"122",1990-06-18,"153.70"
"123",1990-06-19,"153.65"
"124",1990-06-20,"154.00"
"125",1990-06-21,"154.82"
"126",1990-06-22,"154.75"
"127",1990-06-25,"155.37"
"128",1990-06-26,"155.15"
"129",1990-06-27,"154.38"
"130",1990-06-28,"153.17"
"131",1990-06-29,"152.35"
"132",1990-07-02,"151.27"
"133",1990-07-03,"151.20"
"134",1990-07-04,"149.80"
"135",1990-07-05,"150.77"
"136",1990-07-06,"151.03"
"137",1990-07-09,"151.10"
"138",1990-07-10,"148.90"
"139",1990-07-11,"148.68"
"140",1990-07-12,"148.60"
"141",1990-07-13,"147.50"
"142",1990-07-16,"148.05"
"143",1990-07-17,"148.35"
"144",1990-07-18,"147.30"
"145",1990-07-19,"148.05"
"146",1990-07-20,"148.97"
"147",1990-07-23,"148.45"
"148",1990-07-24,"148.35"
"149",1990-07-25,"148.88"
"150",1990-07-26,"150.45"
"151",1990-07-27,"149.60"
"152",1990-07-30,"148.20"
"153",1990-07-31,"146.13"
"154",1990-08-01,"147.25"
"155",1990-08-02,"149.60"
"156",1990-08-03,"149.90"
"157",1990-08-06,"149.75"
"158",1990-08-07,"149.80"
"159",1990-08-08,"150.15"
"160",1990-08-09,"149.82"
"161",1990-08-10,"150.15"
"162",1990-08-13,"150.35"
"163",1990-08-14,"149.48"
"164",1990-08-15,"147.45"
"165",1990-08-16,"148.38"
"166",1990-08-17,"147.57"
"167",1990-08-20,"146.87"
"168",1990-08-21,"146.40"
"169",1990-08-22,"145.75"
"170",1990-08-23,"146.60"
"171",1990-08-24,"146.55"
"172",1990-08-27,"144.45"
"173",1990-08-28,"143.48"
"174",1990-08-29,"143.62"
"175",1990-08-30,"144.30"
"176",1990-08-31,"143.93"
"177",1990-09-03,"143.52"
"178",1990-09-04,"143.55"
"179",1990-09-05,"141.68"
"180",1990-09-06,"141.05"
"181",1990-09-07,"140.10"
"182",1990-09-10,"139.20"
"183",1990-09-11,"139.85"
"184",1990-09-12,"137.70"
"185",1990-09-13,"137.35"
"186",1990-09-14,"136.67"
"187",1990-09-17,"137.00"
"188",1990-09-18,"137.50"
"189",1990-09-19,"137.50"
"190",1990-09-20,"136.93"
"191",1990-09-21,"136.90"
"192",1990-09-24,"136.10"
"193",1990-09-25,"137.38"
"194",1990-09-26,"137.27"
"195",1990-09-27,"138.37"
"196",1990-09-28,"138.27"
"197",1990-10-01,"136.90"
"198",1990-10-02,"136.95"
"199",1990-10-03,"136.13"
"200",1990-10-04,"133.90"
"201",1990-10-05,"132.40"
"202",1990-10-08,"130.50"
"203",1990-10-09,"130.33"
"204",1990-10-10,"129.97"
"205",1990-10-11,"129.95"
"206",1990-10-12,"128.65"
"207",1990-10-15,"128.15"
"208",1990-10-16,"127.25"
"209",1990-10-17,"125.27"
"210",1990-10-18,"125.05"
"211",1990-10-19,"125.75"
"212",1990-10-22,"126.05"
"213",1990-10-23,"127.50"
"214",1990-10-24,"128.05"
"215",1990-10-25,"127.30"
"216",1990-10-26,"128.00"
"217",1990-10-29,"128.40"
"218",1990-10-30,"129.10"
"219",1990-10-31,"129.95"
"220",1990-11-01,"130.48"
"221",1990-11-02,"128.60"
"222",1990-11-05,"126.80"
"223",1990-11-06,"127.30"
"224",1990-11-07,"128.15"
"225",1990-11-08,"129.90"
"226",1990-11-09,"129.73"
"227",1990-11-12,"128.85"
"228",1990-11-13,"129.60"
"229",1990-11-14,"129.62"
"230",1990-11-15,"129.27"
"231",1990-11-16,"129.43"
"232",1990-11-19,"129.00"
"233",1990-11-20,"128.95"
"234",1990-11-21,"127.65"
"235",1990-11-22,"127.32"
"236",1990-11-23,"127.35"
"237",1990-11-26,"128.75"
"238",1990-11-27,"128.33"
"239",1990-11-28,"129.85"
"240",1990-11-29,"132.45"
"241",1990-11-30,"133.10"
"242",1990-12-03,"134.40"
"243",1990-12-04,"134.05"
"244",1990-12-05,"134.53"
"245",1990-12-06,"132.35"
"246",1990-12-07,"131.05"
"247",1990-12-10,"131.90"
"248",1990-12-11,"132.10"
"249",1990-12-12,"131.82"
"250",1990-12-13,"132.13"
"251",1990-12-14,"132.95"
"252",1990-12-17,"133.25"
"253",1990-12-18,"133.23"
"254",1990-12-19,"134.15"
"255",1990-12-20,"134.85"
"256",1990-12-21,"135.60"
"257",1990-12-24,"136.05"
"258",1990-12-25,"135.90"
"259",1990-12-26,"136.05"
"260",1990-12-27,"136.45"
"261",1990-12-28,"135.12"
"262",1990-12-31,"135.75"
"263",1991-01-01,"135.13"
"264",1991-01-02,"134.60"
"265",1991-01-03,"133.05"
"266",1991-01-04,"135.10"
"267",1991-01-07,"136.70"
"268",1991-01-08,"136.45"
"269",1991-01-09,"134.05"
"270",1991-01-10,"134.60"
"271",1991-01-11,"134.25"
"272",1991-01-14,"135.05"
"273",1991-01-15,"135.90"
"274",1991-01-16,"136.85"
"275",1991-01-17,"132.88"
"276",1991-01-18,"132.80"
"277",1991-01-21,"132.05"
"278",1991-01-22,"131.70"
"279",1991-01-23,"132.41"
"280",1991-01-24,"132.23"
"281",1991-01-25,"132.27"
"282",1991-01-28,"132.20"
"283",1991-01-29,"131.53"
"284",1991-01-30,"131.60"
"285",1991-01-31,"131.45"
"286",1991-02-01,"131.45"
"287",1991-02-04,"131.08"
"288",1991-02-05,"129.73"
"289",1991-02-06,"128.35"
"290",1991-02-07,"127.95"
