"","Date","UX1..index"
"3",2004-03-29,"19.8"
"4",2004-03-30,"19.62"
"5",2004-03-31,"19.75"
"6",2004-04-01,"19.62"
"7",2004-04-02,"18.89"
"8",2004-04-05,"18.53"
"9",2004-04-06,"18.79"
"10",2004-04-07,"19.09"
"11",2004-04-08,"19.05"
"12",2004-04-12,"18.67"
"13",2004-04-13,"19.3"
"14",2004-04-14,"19.46"
"15",2004-04-15,"19.35"
"16",2004-04-16,"19"
"17",2004-04-19,"18.87"
"18",2004-04-20,"19.15"
"19",2004-04-21,"18.68"
"20",2004-04-22,"17.35"
"21",2004-04-23,"17.34"
"22",2004-04-26,"17.13"
"23",2004-04-27,"16.8"
"24",2004-04-28,"17.37"
"25",2004-04-29,"17.77"
"26",2004-04-30,"18.22"
"27",2004-05-03,"17.69"
"28",2004-05-04,"17.31"
"29",2004-05-05,"16.62"
"30",2004-05-06,"17.48"
"31",2004-05-07,"18.31"
"32",2004-05-10,"19.35"
"33",2004-05-11,"18.38"
"34",2004-05-12,"18.2"
"35",2004-05-13,"18.38"
"36",2004-05-14,"18.55"
"37",2004-05-17,"19.37"
"38",2004-05-18,"19.25"
"39",2004-05-19,"19.17"
"40",2004-05-20,"19.34"
"41",2004-05-21,"19.17"
"42",2004-05-24,"18.77"
"43",2004-05-25,"17.5"
"44",2004-05-26,"17.61"
"45",2004-05-27,"17.35"
"46",2004-05-28,"17.58"
"47",2004-06-01,"17.6"
"48",2004-06-02,"17.65"
"49",2004-06-03,"17.6"
"50",2004-06-04,"17.28"
"51",2004-06-07,"16.58"
"52",2004-06-08,"16.18"
"53",2004-06-09,"16.2"
"54",2004-06-10,"15.71"
"55",2004-06-14,"16.29"
"56",2004-06-15,"15.03"
"57",2004-06-16,"17.1"
"58",2004-06-17,"17.14"
"59",2004-06-18,"17"
"60",2004-06-21,"17.26"
"61",2004-06-22,"16.77"
"62",2004-06-23,"15.79"
"63",2004-06-24,"16.02"
"64",2004-06-25,"16.23"
"65",2004-06-28,"16.37"
"66",2004-06-29,"15.98"
"67",2004-06-30,"15.38"
"68",2004-07-01,"15.67"
"69",2004-07-02,"15.56"
"70",2004-07-06,"16.22"
"71",2004-07-07,"15.67"
"72",2004-07-08,"15.94"
"73",2004-07-09,"15.74"
"74",2004-07-12,"15.09"
"75",2004-07-13,"14.31"
"76",2004-07-14,"18.74"
"77",2004-07-15,"18.83"
"78",2004-07-16,"18.95"
"79",2004-07-19,"18.98"
"80",2004-07-20,"18.46"
"81",2004-07-21,"19.14"
"82",2004-07-22,"18.42"
"83",2004-07-23,"18.39"
"84",2004-07-26,"18.55"
"85",2004-07-27,"17.88"
"86",2004-07-28,"17.5"
"87",2004-07-29,"16.86"
"88",2004-07-30,"16.68"
"89",2004-08-02,"16.41"
"90",2004-08-03,"16.58"
"91",2004-08-04,"16.73"
"92",2004-08-05,"17.61"
"93",2004-08-06,"18.37"
"94",2004-08-09,"18"
"95",2004-08-10,"17.43"
"96",2004-08-11,"17.49"
"97",2004-08-12,"18.12"
"98",2004-08-13,"17.87"
"99",2004-08-16,"17.2"
"100",2004-08-17,"16.6"
"101",2004-08-18,"17.81"
"102",2004-08-19,"17.89"
"103",2004-08-20,"17.65"
"104",2004-08-23,"17.47"
"105",2004-08-24,"17.1"
"106",2004-08-25,"16.5"
"107",2004-08-26,"16.41"
"108",2004-08-27,"16.15"
"109",2004-08-30,"16.44"
"110",2004-08-31,"16.17"
"111",2004-09-01,"16.02"
"112",2004-09-02,"15.39"
"113",2004-09-03,"15.26"
"114",2004-09-07,"14.89"
"115",2004-09-08,"14.59"
"116",2004-09-09,"14.46"
"117",2004-09-10,"14.29"
"118",2004-09-13,"13.73"
"119",2004-09-14,"13.5"
"120",2004-09-15,"15.48"
"121",2004-09-16,"15.51"
"122",2004-09-17,"15.54"
"123",2004-09-20,"15.66"
"124",2004-09-21,"15.34"
"125",2004-09-22,"15.6"
"126",2004-09-23,"15.61"
"127",2004-09-24,"15.35"
"128",2004-09-27,"15.52"
"129",2004-09-28,"14.95"
"130",2004-09-29,"14.35"
"131",2004-09-30,"14.23"
"132",2004-10-01,"13.57"
"133",2004-10-04,"13.82"
"134",2004-10-05,"13.87"
"135",2004-10-06,"13.55"
"136",2004-10-07,"14.15"
"137",2004-10-08,"14.73"
"138",2004-10-11,"14.81"
"139",2004-10-12,"15.02"
"140",2004-10-13,"15.99"
"141",2004-10-14,"16.3"
"142",2004-10-15,"15.99"
"143",2004-10-18,"15.47"
"144",2004-10-19,"15.6"
"145",2004-10-20,"16.05"
"146",2004-10-21,"15.32"
"147",2004-10-22,"15.65"
"148",2004-10-25,"16.11"
"149",2004-10-26,"15.76"
"150",2004-10-27,"15.81"
"151",2004-10-28,"15.56"
"152",2004-10-29,"15.6"
"153",2004-11-01,"15.72"
"154",2004-11-02,"15.22"
"155",2004-11-03,"14.29"
"156",2004-11-04,"13.72"
"157",2004-11-05,"13.68"
"158",2004-11-08,"13.84"
"159",2004-11-09,"13.64"
"160",2004-11-10,"13.12"
"161",2004-11-11,"12.74"
"162",2004-11-12,"12.8"
"163",2004-11-15,"12.71"
"164",2004-11-16,"12.58"
"165",2004-11-17,"15.12"
"166",2004-11-18,"15.12"
"167",2004-11-19,"15.45"
"168",2004-11-22,"15.22"
"169",2004-11-23,"15.15"
"170",2004-11-24,"15.03"
"171",2004-11-26,"15.01"
"172",2004-11-29,"15.06"
"173",2004-11-30,"15.08"
"174",2004-12-01,"14.88"
"175",2004-12-02,"14.82"
"176",2004-12-03,"14.81"
"177",2004-12-06,"14.24"
