"","Date","XAU.Curncy"
"3",1990-01-03,"395.00"
"4",1990-01-04,"396.50"
"5",1990-01-05,"405.00"
"6",1990-01-08,"404.60"
"7",1990-01-09,"403.45"
"8",1990-01-10,"409.10"
"9",1990-01-11,"412.10"
"10",1990-01-12,"416.25"
"11",1990-01-15,"415.60"
"12",1990-01-16,"412.75"
"13",1990-01-17,"410.40"
"14",1990-01-18,"413.40"
"15",1990-01-19,"408.65"
"16",1990-01-22,"406.00"
"17",1990-01-23,"408.25"
"18",1990-01-24,"420.75"
"19",1990-01-25,"415.65"
"20",1990-01-26,"418.00"
"21",1990-01-29,"418.75"
"22",1990-01-30,"418.15"
"23",1990-01-31,"415.05"
"24",1990-02-01,"415.80"
"25",1990-02-02,"417.95"
"26",1990-02-05,"423.00"
"27",1990-02-06,"421.05"
"28",1990-02-07,"423.75"
"29",1990-02-08,"418.00"
"30",1990-02-09,"415.50"
"31",1990-02-12,"418.85"
"32",1990-02-13,"418.05"
"33",1990-02-14,"414.60"
"34",1990-02-15,"416.65"
"35",1990-02-16,"416.50"
"36",1990-02-19,"416.50"
"37",1990-02-20,"419.95"
"38",1990-02-21,"420.00"
"39",1990-02-22,"417.65"
"40",1990-02-23,"415.85"
"41",1990-02-26,"411.30"
"42",1990-02-27,"407.55"
"43",1990-02-28,"407.70"
"44",1990-03-01,"406.30"
"45",1990-03-02,"405.05"
"46",1990-03-05,"403.20"
"47",1990-03-06,"405.35"
"48",1990-03-07,"400.50"
"49",1990-03-08,"400.70"
"50",1990-03-09,"399.30"
"51",1990-03-12,"401.25"
"52",1990-03-13,"397.25"
"53",1990-03-14,"398.75"
"54",1990-03-15,"399.50"
"55",1990-03-16,"400.65"
"56",1990-03-19,"402.10"
"57",1990-03-20,"399.65"
"58",1990-03-21,"392.00"
"59",1990-03-22,"392.00"
"60",1990-03-23,"393.50"
"61",1990-03-26,"370.25"
"62",1990-03-27,"368.00"
"63",1990-03-28,"372.00"
"64",1990-03-29,"371.50"
"65",1990-03-30,"368.50"
"66",1990-04-02,"368.40"
"67",1990-04-03,"375.00"
"68",1990-04-04,"374.25"
"69",1990-04-05,"378.40"
"70",1990-04-06,"377.70"
"71",1990-04-09,"376.70"
"72",1990-04-10,"375.20"
"73",1990-04-11,"374.50"
"74",1990-04-12,"375.50"
"75",1990-04-17,"374.00"
"76",1990-04-18,"374.75"
"77",1990-04-19,"375.75"
"78",1990-04-20,"376.00"
"79",1990-04-23,"375.25"
"80",1990-04-24,"376.80"
"81",1990-04-25,"371.45"
"82",1990-04-26,"371.60"
"83",1990-04-27,"371.60"
