,SPX Index,,RTY Index,,MXEA Index,,LBUSTRUU Index,,LUATTRUU Index,,LUACTRUU Index,,LF98TRUU Index,,LGTRTRUU Index,,LEGATRUU Index,,BCOM Index,,CL1 Comdty,,XAU Curncy,,DXY Index,,USDJPY Curncy,,USDEUR Curncy,,VIX Index,,UX1  index,,UX2  index,,UX3  index,,UX4  index,,UX5  index,,UX6  index,,UX7  index,,UX8  index,,UX9  index
Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST
2-Jan-90,359.69,1-Jan-90,168.30,1990/1/1,1047.86,1990/1/2,397.08,1990/1/31,460.81,1990/1/2,453.66,1990/1/31,194.21,2000/9/29,99.72,1990/1/31,98.66,1990/1/2,94.28,1990/1/2,22.89,1990/1/2,399.00,1990/1/2,94.25,1990/1/1,143.80,1990/1/2,0.82,1990/1/2,17.24,2004/3/26,20.32,2004/3/26,20.16,2004/5/19,20.7,2004/3/26,20.11,2004/6/16,20.06,2004/5/19,21.15,2004/3/26,20.94,2005/8/22,16.54,2006/3/9,15.41
1990/1/3,358.76,1990/1/2,169.94,1990/1/2,1043.26,1990/1/3,396.36,1990/2/28,461.62,1990/1/3,452.75,1990/2/28,190.20,2000/10/31,98.51,1990/2/28,98.14,1990/1/3,95.60,1990/1/3,23.68,1990/1/3,395.00,1990/1/3,94.45,1990/1/2,146.25,1990/1/3,0.83,1990/1/3,18.19,2004/3/29,19.8,2004/3/29,19.77,2004/5/20,20.67,2004/3/29,19.68,2004/6/17,20.04,2004/5/20,21.08,2004/3/29,20.98,2005/8/23,16.7,2006/3/10,15.31
1990/1/4,355.67,1990/1/3,170.78,1990/1/3,1044.80,1990/1/4,396.88,1990/3/30,461.47,1990/1/4,452.98,1990/3/30,195.19,2000/11/30,100.22,1990/3/30,97.62,1990/1/4,94.84,1990/1/4,23.41,1990/1/4,396.50,1990/1/4,92.54,1990/1/3,145.70,1990/1/4,0.81,1990/1/4,19.22,2004/3/30,19.62,2004/3/30,19.79,2004/5/21,20.86,2004/3/30,19.91,2004/6/18,20.04,2004/5/21,21.1,2004/3/30,21.02,2005/8/24,16.94,2006/3/13,15.37
1990/1/5,352.20,1990/1/4,170.17,1990/1/4,1054.33,1990/1/5,396.72,1990/4/30,457.23,1990/1/5,452.57,1990/4/30,194.86,2000/12/29,103.18,1990/4/30,97.11,1990/1/5,94.05,1990/1/5,23.08,1990/1/5,405.00,1990/1/5,93.06,1990/1/4,143.37,1990/1/5,0.81,1990/1/5,20.11,2004/3/31,19.75,2004/3/31,19.85,2004/5/24,20.53,2004/3/31,20.15,2004/6/21,20.1,2004/5/24,21,2004/3/31,21.08,2005/8/25,17.15,2006/3/14,15.3
1990/1/8,353.79,1990/1/5,169.71,1990/1/5,1046.18,1990/1/8,396.72,1990/5/31,470.09,1990/1/8,452.61,1990/5/31,198.62,2001/1/16,102.45,1990/5/31,100.20,1990/1/8,92.56,1990/1/8,21.62,1990/1/8,404.60,1990/1/8,92.05,1990/1/5,143.82,1990/1/8,0.80,1990/1/8,20.26,2004/4/1,19.62,2004/4/1,19.61,2004/5/25,19.8,2004/4/1,20.2,2004/6/22,19.77,2004/5/25,20.63,2004/4/1,21.17,2005/8/26,17.27,2006/3/15,15.25
1990/1/9,349.62,1990/1/8,169.67,1990/1/8,1047.86,1990/1/9,396.80,1990/6/29,477.54,1990/1/9,452.61,1990/6/29,203.42,2001/1/17,102.20,1990/6/29,102.05,1990/1/9,92.90,1990/1/9,22.07,1990/1/9,403.45,1990/1/9,92.36,1990/1/8,144.10,1990/1/9,0.81,1990/1/9,22.2,2004/4/2,18.89,2004/4/2,19.16,2004/5/26,19.86,2004/4/2,20.05,2004/6/23,19.14,2004/5/26,20.67,2004/4/2,21,2005/8/29,17.26,2006/3/16,15.34
1990/1/10,347.31,1990/1/9,169.46,1990/1/9,1040.82,1990/1/10,396.92,1990/7/31,483.59,1990/1/10,452.52,1990/7/31,208.90,2001/1/18,102.90,1990/7/31,104.73,1990/1/10,94.14,1990/1/10,22.90,1990/1/10,409.10,1990/1/10,92.50,1990/1/9,145.20,1990/1/10,0.81,1990/1/10,22.44,2004/4/5,18.53,2004/4/5,18.62,2004/5/27,19.73,2004/4/5,19.97,2004/6/24,19.38,2004/5/27,20.74,2004/4/5,21.04,2005/8/30,17.31,2006/3/17,15.32
1990/1/11,348.53,1990/1/10,168.14,1990/1/10,1035.08,1990/1/11,396.96,1990/8/31,476.63,1990/1/11,452.61,1990/8/31,197.01,2001/1/19,102.61,1990/8/31,103.68,1990/1/11,94.82,1990/1/11,23.14,1990/1/11,412.10,1990/1/11,92.44,1990/1/10,145.25,1990/1/11,0.81,1990/1/11,20.05,2004/4/6,18.79,2004/4/6,18.79,2004/5/28,19.68,2004/4/6,20.28,2004/6/25,19.66,2004/5/28,20.75,2004/4/6,21.16,2005/8/31,17.32,2006/3/20,15.28
1990/1/12,339.93,1990/1/11,168.20,1990/1/11,1037.13,1990/1/12,396.32,1990/9/28,481.21,1990/1/12,451.39,1990/9/28,182.63,2001/1/22,102.78,1990/9/28,104.64,1990/1/12,94.28,1990/1/12,23.13,1990/1/12,416.25,1990/1/12,92.56,1990/1/11,145.40,1990/1/12,0.81,1990/1/12,24.64,2004/4/7,19.09,2004/4/7,19.12,2004/6/1,19.74,2004/4/7,20.54,2004/6/28,19.88,2004/6/1,20.77,2004/4/7,21.57,2005/9/1,17.41,2006/3/21,15.24
